হ,ও,য,়,া,$,COPY	হ,ও,য,়,া
হ,ও,য,়,া,$,V,PROG,3,INFM,PRS	হ,চ,্,ছ,ো
হ,ও,য,়,া,$,V,2,POL,PST	হ,ল,ো
হ,ও,য,়,া,$,V,PROG,2,POL,PRS	হ,চ,্,ছ,ে
হ,ও,য,়,া,$,V,HAB,3,POL,PST	হ,ত,ে,ন
হ,ও,য,়,া,$,V,2,PRS,LGSPEC1	হ,স
হ,ও,য,়,া,$,V,PROG,1,PST	হ,চ,্,ছ,ি,ল,া,ম
হ,ও,য,়,া,$,V,3,INFM,PST	হ,ল,ে
হ,ও,য,়,া,$,V,3,INFM,FUT	হ,ব,ে
হ,ও,য,়,া,$,V,PRF,3,POL,PRS	হ,য,়,ে,ছ,ে,ন
হ,ও,য,়,া,$,V,HAB,3,INFM,PST	হ,ত,ে
হ,ও,য,়,া,$,V,PRF,2,PST,LGSPEC1	হ,য,়,ে,ছ,ি,ল,ি
হ,ও,য,়,া,$,V,HAB,2,PST,LGSPEC1	হ,ত,ি,স
হ,ও,য,়,া,$,V,3,POL,PRS	হ,ন
হ,ও,য,়,া,$,V,PRF,3,INFM,PST	হ,য,়,ে,ছ,ি,ল,ে
হ,ও,য,়,া,$,V,PROG,2,PST,LGSPEC1	হ,চ,্,ছ,ি,ল,ি
হ,ও,য,়,া,$,V,PRF,3,INFM,PRS	হ,য,়,ে,ছ,ো
হ,ও,য,়,া,$,V,2,POL,FUT	হ,ব,ে
হ,ও,য,়,া,$,V,PRF,3,POL,PST	হ,য,়,ে,ছ,ি,ল,ে,ন
হ,ও,য,়,া,$,V,HAB,1,PST	হ,ত,া,ম
হ,ও,য,়,া,$,V,PROG,3,POL,PST	হ,চ,্,ছ,ি,ল,ে,ন
হ,ও,য,়,া,$,V,3,POL,FUT	হ,ব,ে,ন
হ,ও,য,়,া,$,V,NFIN	হ,ত,ে
হ,ও,য,়,া,$,V,2,PST,LGSPEC1	হ,ল,ি
হ,ও,য,়,া,$,V,3,INFM,PRS	হ,ও
হ,ও,য,়,া,$,V,1,PRS	হ,ই
হ,ও,য,়,া,$,V,2,FUT,LGSPEC1	হ,ব,ি
হ,ও,য,়,া,$,V,1,PST	হ,ল,া,ম
হ,ও,য,়,া,$,V,PROG,1,PRS	হ,চ,্,ছ,ি
হ,ও,য,়,া,$,V,PROG,3,INFM,PST	হ,চ,্,ছ,ি,ল,ে
হ,ও,য,়,া,$,V,PRF,1,PST	হ,য,়,ে,ছ,ি,ল,া,ম
হ,ও,য,়,া,$,V,3,POL,PST	হ,ল,ে,ন
হ,ও,য,়,া,$,V,1,FUT	হ,ব,ো
হ,ও,য,়,া,$,V,PROG,3,POL,PRS	হ,চ,্,ছ,ে,ন
হ,ও,য,়,া,$,V,HAB,2,POL,PST	হ,ত,ো
হ,ও,য,়,া,$,V,PROG,2,POL,PST	হ,চ,্,ছ,ি,ল,ো
হ,ও,য,়,া,$,V,PRF,2,POL,PST	হ,য,়,ে,ছ,ি,ল,ো
হ,ও,য,়,া,$,V,PRF,2,POL,PRS	হ,য,়,ে,ছ,ে
