অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,NFIN	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ো
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,ল,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,POL,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,3,INFM,FUT	অ,ন,ু,র,ো,ধ, ,ক,র,ব,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,2,PRS,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,PRS,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ি,স
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PROG,2,POL,PRS	অ,ন,ু,র,ো,ধ, ,ক,র,ছ,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,3,POL,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,ে,ন
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,HAB,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ত,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,PRF,3,INFM,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ে,ছ,ি,ল,ে
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,1,PST	অ,ন,ু,র,ো,ধ, ,ক,র,ল,া,ম
অ,ন,ু,র,ো,ধ, ,ক,র,া,$,V,2,PST,LGSPEC1	অ,ন,ু,র,ো,ধ, ,ক,র,ল,ি
