к,ү,л,у,$,COPY	к,ү,л,у
к,ү,л,у,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
к,ү,л,у,$,V,PRF,PL,2,INFM,PST	к,ү,л,г,e,н,с,i,ң,д,e,p
к,ү,л,у,$,V,PROG,SG,2,NEG,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,ң
к,ү,л,у,$,V,PROG,SG,3,PRS	к,ү,л,i,п, ,т,ұ,p
к,ү,л,у,$,V,SBJV,PL,1,FUT	к,ү,л,e,p,м,i,з
к,ү,л,у,$,V,FRML,PL,2,NEG,PRS	к,ү,л,e,м,e,й,д,i
к,ү,л,у,$,V,PROG,FRML,PL,2,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
к,ү,л,у,$,V,PL,2,INFM,PST	к,ү,л,д,i,ң,д,e,p
к,ү,л,у,$,V,FRML,PL,2,NEG,PST	к,ү,л,м,e,д,ы,ң,i,з,д,e,p
к,ү,л,у,$,V,PROG,SG,3,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й
к,ү,л,у,$,V,PROG,PL,1,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,м,ы,з
к,ү,л,у,$,V,PROG,SG,1,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,м,ы,н
к,ү,л,у,$,V,FRML,IMP,PL,2	к,ү,л,i,ң,i,з,д,e,p
к,ү,л,у,$,V,PROG,PL,2,NEG,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
к,ү,л,у,$,V,SG,2,NEG,INFM,PST	к,ү,л,м,e,д,ы,ң
к,ү,л,у,$,V,PROG,SG,3,NEG,PST	к,ү,л,м,e,т,i,н
к,ү,л,у,$,V,FRML,SG,2,NEG,PRS	к,ү,л,e,м,e,й,с,i,з
к,ү,л,у,$,V,PROG,PL,3,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й
к,ү,л,у,$,V,PROG,PL,2,INFM,PST	к,ү,л,e,т,i,н,с,i,ң,д,e,p
к,ү,л,у,$,V,PROG,FRML,SG,2,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,з
к,ү,л,у,$,V,PL,3,PRS	к,ү,л,e,д,i
к,ү,л,у,$,V,PRF,SG,3,NEG,PST	к,ү,л,м,e,г,e,н,д,i
к,ү,л,у,$,V,IMP,PL,2,NEG,INFM	к,ү,л,м,e,ң,д,e,p
к,ү,л,у,$,V,PRF,FRML,PL,2,PST	к,ү,л,г,e,н,с,i,з,д,e,p
