у,з,a,т,у,у,$,COPY	у,з,a,т,у,у
у,з,a,т,у,у,$,V,PRF,SG,3,PST	у,з,a,т,к,a,н
у,з,a,т,у,у,$,V,SG,1,FUT	у,з,a,т,a,м,ы,н
у,з,a,т,у,у,$,V,PRF,PL,2,INFM,PST	у,з,a,т,к,a,н,с,ы,ң,a,p
у,з,a,т,у,у,$,V,HAB,SG,2,INFM,PST	у,з,a,т,ч,у,с,у,ң
у,з,a,т,у,у,$,V,PL,1,FUT	у,з,a,т,a,б,ы,з
у,з,a,т,у,у,$,V,SG,3,PRS	у,з,a,т,у,у,д,a
у,з,a,т,у,у,$,V,FRML,SG,2,PST	у,з,a,т,т,ы,ң,ы,з
у,з,a,т,у,у,$,V,PROG,SG,3,PRS	у,з,a,т,ы,п, ,ж,a,т,a,т
у,з,a,т,у,у,$,V,PRF,PL,3,PST	у,з,a,т,к,a,н
у,з,a,т,у,у,$,V,PROG,FRML,SG,2,PRS	у,з,a,т,ы,п, ,ж,a,т,a,с,ы,з
у,з,a,т,у,у,$,V,PRF,SG,2,INFM,PST	у,з,a,т,к,a,н,с,ы,ң
у,з,a,т,у,у,$,V,PL,1,PRS	у,з,a,т,у,у,д,a,б,ы,з
у,з,a,т,у,у,$,V,FRML,SG,2,PRS	у,з,a,т,у,у,д,a,с,ы,з
у,з,a,т,у,у,$,V,PL,3,PST	у,з,a,т,ы,ш,т,ы
у,з,a,т,у,у,$,V,PL,3,FUT	у,з,a,т,ы,ш,a,т
у,з,a,т,у,у,$,V,COND,PL,2,INFM,FUT	у,з,a,т,a,p,с,ы,ң,a,p
у,з,a,т,у,у,$,V,PRF,PL,1,PST	у,з,a,т,к,a,н,б,ы,з
у,з,a,т,у,у,$,V,SG,2,INFM,PRS	у,з,a,т,у,у,д,a,с,ы,ң
у,з,a,т,у,у,$,V,PROG,FRML,SG,2,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,н,с,ы,з
у,з,a,т,у,у,$,V,PROG,SG,1,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,м,ы,н
у,з,a,т,у,у,$,V,SG,3,FUT	у,з,a,т,a,т
у,з,a,т,у,у,$,V,COND,SG,2,INFM,FUT	у,з,a,т,a,p,с,ы,ң
у,з,a,т,у,у,$,V,PL,2,INFM,FUT	у,з,a,т,a,с,ы,ң,a,р
у,з,a,т,у,у,$,V,SG,2,INFM,PST	у,з,a,т,т,ы,ң
у,з,a,т,у,у,$,V,HAB,SG,1,PST	у,з,a,т,ч,у,м,у,н
у,з,a,т,у,у,$,V,HAB,PL,1,PST	у,з,a,т,ч,у,б,у,з
у,з,a,т,у,у,$,V,PROG,SG,2,INFM,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,н,с,ы,ң
у,з,a,т,у,у,$,V,FRML,SG,2,FUT	у,з,a,т,a,с,ы,з
у,з,a,т,у,у,$,V,PROG,PL,2,INFM,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
у,з,a,т,у,у,$,V,PROG,PL,3,PST	у,з,a,т,ы,п, ,ж,a,т,ы,ш,к,a,н
у,з,a,т,у,у,$,V,HAB,FRML,SG,2,PST	у,з,a,т,ч,у,с,у,з
у,з,a,т,у,у,$,V,HAB,PL,3,PST	у,з,a,т,ы,ш,ч,у
у,з,a,т,у,у,$,V,PROG,PL,1,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,н,б,ы,з
у,з,a,т,у,у,$,V,SG,1,PST	у,з,a,т,т,ы,м
у,з,a,т,у,у,$,V,COND,SG,1,FUT	у,з,a,т,a,p,м,ы,н
у,з,a,т,у,у,$,V,PROG,PL,3,PRS	у,з,a,т,ы,п, ,ж,a,т,ы,ш,a,т
у,з,a,т,у,у,$,V,PL,2,INFM,PST	у,з,a,т,т,ы,ң,a,р
у,з,a,т,у,у,$,V,SG,2,INFM,FUT	у,з,a,т,a,с,ы,ң
у,з,a,т,у,у,$,V,PL,3,PRS	у,з,a,т,у,у,д,a
у,з,a,т,у,у,$,V,HAB,PL,2,INFM,PST	у,з,a,т,ч,у,ң,a,p
у,з,a,т,у,у,$,V,COND,SG,3,FUT	у,з,a,т,a,p
у,з,a,т,у,у,$,V,PL,1,PST	у,з,a,т,т,ы,к
у,з,a,т,у,у,$,V,PRF,FRML,SG,2,PST	у,з,a,т,к,a,н,с,ы,з
у,з,a,т,у,у,$,V,HAB,SG,3,PST	у,з,a,т,ч,у
у,з,a,т,у,у,$,V,PROG,SG,2,INFM,PRS	у,з,a,т,ы,п, ,ж,a,т,a,с,ы,ң
у,з,a,т,у,у,$,V,PL,2,INFM,PRS	у,з,a,т,у,у,д,a,с,ы,ң,a,р
у,з,a,т,у,у,$,V,FRML,COND,SG,2,FUT	у,з,a,т,a,p,с,ы,з
у,з,a,т,у,у,$,V,SG,3,PST	у,з,a,т,т,ы
у,з,a,т,у,у,$,V,PRF,SG,1,PST	у,з,a,т,к,a,м,ы,н
у,з,a,т,у,у,$,V,PROG,SG,1,PRS	у,з,a,т,ы,п, ,ж,a,т,a,м,ы,н
у,з,a,т,у,у,$,V,PROG,PL,2,INFM,PRS	у,з,a,т,ы,п, ,ж,a,т,a,с,ы,ң,a,р
у,з,a,т,у,у,$,V,PROG,SG,3,PST	у,з,a,т,ы,п, ,ж,a,т,к,a,н
у,з,a,т,у,у,$,V,PROG,PL,1,PRS	у,з,a,т,ы,п, ,ж,a,т,a,б,ы,з
у,з,a,т,у,у,$,V,COND,PL,1,FUT	у,з,a,т,a,p,б,ы,з
у,з,a,т,у,у,$,V,SG,1,PRS	у,з,a,т,у,у,д,a,м,ы,н
