т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,PL,1,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,м
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ө,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PRF,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,PL,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,HAB,PL,3,PST	т,ү,ш,ү,н,д,ү,p,ү,ш,ч,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,SG,3,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,SG,3,FUT	т,ү,ш,ү,н,д,ү,р,ө,т
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,3,FUT	т,ү,ш,ү,н,д,ү,p,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PL,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,к
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,PROG,PL,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,$,V,COND,SG,1,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,м,ү,н
