n,y,a,a,$,V,PL,1,PST	n,y,a,a,n,e,e
n,y,a,a,$,V,SG,1,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
n,y,a,a,$,V,SG,2,PST	n,y,a,a,t,t,e,e
n,y,a,a,$,V,SG,1,FUT	n,i, ,n,y,a,a,d,h,a,a
n,y,a,a,$,V,PL,1,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
n,y,a,a,$,V,FEM,SG,3,PST	n,y,a,a,t,t,e,e
n,y,a,a,$,V,FEM,SG,3,FUT	n,i, ,n,y,a,a,t,t,i,i
n,y,a,a,$,V,PL,2,FUT	n,i, ,n,y,a,a,t,t,u,u
n,y,a,a,$,V,FEM,SG,3,PRS	n,y,a,a,c,h,a,a, ,j,i,r,t,i,i
n,y,a,a,$,V,SG,2,PRS	n,y,a,a,c,h,a,a, ,j,i,r,t,a,a
n,y,a,a,$,V,PL,3,FUT	n,i, ,n,y,a,a,t,a,n,i,i
n,y,a,a,$,V,MASC,SG,3,PST	n,y,a,a,t,e,e
n,y,a,a,$,V,MASC,SG,3,FUT	n,i, ,n,y,a,a,t,a,a
n,y,a,a,$,V,NFIN	n,y,a,a,c,h,u,u
n,y,a,a,$,V,MASC,SG,3,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
n,y,a,a,$,V,PL,1,FUT	n,i, ,n,y,a,a,n,n,a,a
n,y,a,a,$,V,SG,1,PST	n,y,a,a,d,h,e,e
n,y,a,a,$,V,SG,2,FUT	n,i, ,n,y,a,a,t,t,a,a
n,y,a,a,$,V,PL,2,PST	n,y,a,a,t,t,a,n,i,i
n,y,a,a,$,V,PL,3,PST	n,y,a,a,t,a,n,i,i
n,y,a,a,$,V,PL,3,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,n,i,i
n,y,a,a,$,V,PL,2,PRS	n,y,a,a,c,h,a,a, ,j,i,r,t,u,u
h,u,r,g,u,f,$,V,FEM,SG,3,FUT	n,i, ,h,u,r,g,u,f,t,t,i,i
h,u,r,g,u,f,$,V,PL,3,PST	h,u,r,g,u,f,t,a,n,i,i
h,u,r,g,u,f,$,V,PL,2,FUT	n,i, ,h,u,r,g,u,f,t,t,u,u
h,u,r,g,u,f,$,V,PL,2,PST	h,u,r,g,u,f,t,t,a,n,i,i
h,u,r,g,u,f,$,V,FEM,SG,3,PST	h,u,r,g,u,f,t,t,e,e
h,u,r,g,u,f,$,V,PL,1,PST	h,u,r,g,u,f,n,e,e
h,u,r,g,u,f,$,V,MASC,SG,3,FUT	n,i, ,h,u,r,g,u,f,t,a,a
h,u,r,g,u,f,$,V,MASC,SG,3,PST	h,u,r,g,u,f,t,e,e
h,u,r,g,u,f,$,V,PL,1,FUT	n,i, ,h,u,r,g,u,f,n,n,a,a
h,u,r,g,u,f,$,V,SG,2,PST	h,u,r,g,u,f,t,t,e,e
h,u,r,g,u,f,$,V,SG,2,PRS	h,u,r,g,u,f,a,a, ,j,i,r,t,a,a
h,u,r,g,u,f,$,V,FEM,SG,3,PRS	h,u,r,g,u,f,a,a, ,j,i,r,t,i,i
h,u,r,g,u,f,$,V,SG,1,PRS	h,u,r,g,u,f,a,a, ,j,i,r,a,a
h,u,r,g,u,f,$,V,MASC,SG,3,PRS	h,u,r,g,u,f,a,a, ,j,i,r,a,a
h,u,r,g,u,f,$,V,PL,2,PRS	h,u,r,g,u,f,a,a, ,j,i,r,t,u,u
h,u,r,g,u,f,$,V,SG,2,FUT	n,i, ,h,u,r,g,u,f,t,t,a,a
h,u,r,g,u,f,$,V,PL,3,PRS	h,u,r,g,u,f,a,a, ,j,i,r,a,n,i,i
h,u,r,g,u,f,$,V,PL,3,FUT	n,i, ,h,u,r,g,u,f,t,a,n,i,i
h,u,r,g,u,f,$,V,PL,1,PRS	h,u,r,g,u,f,a,a, ,j,i,r,a,a
h,u,r,g,u,f,$,V,SG,1,PST	h,u,r,g,u,f,d,h,e,e
h,u,r,g,u,f,$,V,NFIN	h,u,r,g,u,f,u,u
h,u,r,g,u,f,$,V,SG,1,FUT	n,i, ,h,u,r,g,u,f,d,h,a,a
b,a,r,a,$,V,MASC,SG,3,PST	b,a,r,a,t,e,e
b,a,r,a,$,V,SG,2,PRS	b,a,r,a,c,h,a,a, ,j,i,r,t,a,a
b,a,r,a,$,V,SG,1,PST	b,a,r,a,d,h,e,e
b,a,r,a,$,V,MASC,SG,3,PRS	b,a,r,a,c,h,a,a, ,j,i,r,a,a
b,a,r,a,$,V,PL,2,FUT	n,i, ,b,a,r,a,t,t,u,u
b,a,r,a,$,V,PL,1,FUT	n,i, ,b,a,r,a,n,n,a,a
b,a,r,a,$,V,FEM,SG,3,PRS	b,a,r,a,c,h,a,a, ,j,i,r,t,i,i
b,a,r,a,$,V,PL,2,PRS	b,a,r,a,c,h,a,a, ,j,i,r,t,u,u
b,a,r,a,$,V,PL,3,PST	b,a,r,a,t,a,n,i,i
b,a,r,a,$,V,FEM,SG,3,FUT	n,i, ,b,a,r,a,t,t,i,i
b,a,r,a,$,V,NFIN	b,a,r,a,c,h,u,u
b,a,r,a,$,V,SG,2,PST	b,a,r,a,t,t,e,e
b,a,r,a,$,V,PL,1,PST	b,a,r,a,n,e,e
b,a,r,a,$,V,SG,1,FUT	n,i, ,b,a,r,a,d,h,a,a
b,a,r,a,$,V,FEM,SG,3,PST	b,a,r,a,t,t,e,e
b,a,r,a,$,V,PL,3,PRS	b,a,r,a,c,h,a,a, ,j,i,r,a,n,i,i
b,a,r,a,$,V,PL,3,FUT	n,i, ,b,a,r,a,t,a,n,i,i
b,a,r,a,$,V,PL,2,PST	b,a,r,a,t,t,a,n,i,i
b,a,r,a,$,V,PL,1,PRS	b,a,r,a,c,h,a,a, ,j,i,r,a,a
b,a,r,a,$,V,SG,2,FUT	n,i, ,b,a,r,a,t,t,a,a
b,a,r,a,$,V,MASC,SG,3,FUT	n,i, ,b,a,r,a,t,a,a
b,a,r,a,$,V,SG,1,PRS	b,a,r,a,c,h,a,a, ,j,i,r,a,a
j,a,l,q,a,b,a,$,V,PL,1,FUT	n,i, ,j,a,l,q,a,b,a,n,n,a,a
j,a,l,q,a,b,a,$,V,PL,3,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,a,n,i,i
j,a,l,q,a,b,a,$,V,FEM,SG,3,FUT	n,i, ,j,a,l,q,a,b,a,t,t,i,i
j,a,l,q,a,b,a,$,V,MASC,SG,3,PST	j,a,l,q,a,b,a,t,e,e
j,a,l,q,a,b,a,$,V,MASC,SG,3,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,a,a
j,a,l,q,a,b,a,$,V,SG,2,PST	j,a,l,q,a,b,a,t,t,e,e
j,a,l,q,a,b,a,$,V,NFIN	j,a,l,q,a,b,a
j,a,l,q,a,b,a,$,V,PL,3,PST	j,a,l,q,a,b,a,t,a,n,i,i
j,a,l,q,a,b,a,$,V,FEM,SG,3,PST	j,a,l,q,a,b,a,t,t,e,e
j,a,l,q,a,b,a,$,V,PL,3,FUT	n,i, ,j,a,l,q,a,b,a,t,a,n,i,i
j,a,l,q,a,b,a,$,V,FEM,SG,3,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,t,i,i
j,a,l,q,a,b,a,$,V,SG,1,FUT	n,i, ,j,a,l,q,a,b,a,d,h,a,a
j,a,l,q,a,b,a,$,V,PL,1,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,a,a
j,a,l,q,a,b,a,$,V,PL,2,FUT	n,i, ,j,a,l,q,a,b,a,t,t,u,u
j,a,l,q,a,b,a,$,V,SG,2,FUT	n,i, ,j,a,l,q,a,b,a,t,t,a,a
j,a,l,q,a,b,a,$,V,MASC,SG,3,FUT	n,i, ,j,a,l,q,a,b,a,t,a,a
j,a,l,q,a,b,a,$,V,PL,1,PST	j,a,l,q,a,b,a,n,e,e
j,a,l,q,a,b,a,$,V,PL,2,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,t,u,u
j,a,l,q,a,b,a,$,V,SG,1,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,a,a
j,a,l,q,a,b,a,$,V,SG,2,PRS	j,a,l,q,a,b,a,a,a, ,j,i,r,t,a,a
j,a,l,q,a,b,a,$,V,SG,1,PST	j,a,l,q,a,b,a,d,h,e,e
j,a,l,q,a,b,a,$,V,PL,2,PST	j,a,l,q,a,b,a,t,t,a,n,i,i
h,a,a,t,$,V,PL,1,FUT	n,i, ,h,a,a,t,n,n,a,a
h,a,a,t,$,V,SG,1,PST	h,a,a,t,d,h,e,e
h,a,a,t,$,V,SG,1,FUT	n,i, ,h,a,a,t,d,h,a,a
h,a,a,t,$,V,PL,1,PRS	h,a,a,t,a,a, ,j,i,r,a,a
h,a,a,t,$,V,FEM,SG,3,FUT	n,i, ,h,a,a,t,t,t,i,i
h,a,a,t,$,V,NFIN	h,a,a,t,u,u
