l,i,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,l,i,a
l,i,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,l,i,a
l,i,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,i,a
l,i,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,i,a
l,i,a,$,V,FIN	k,u,l,i,a
l,i,a,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,i,a
l,i,a,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,i,a
l,i,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,l,i,a
l,i,a,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,i,a
l,i,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,l,i,a
l,i,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,i,a
l,i,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,l,i,a
l,i,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,i,a
l,i,a,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,i,a
l,i,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,i,a
l,i,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,l,i,a
l,i,a,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,i,a
l,i,a,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,i,a
l,i,a,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,i,a
l,i,a,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,l,i,a
l,i,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,l,i,a
l,i,a,$,V,FIN,IND,SG,2,PST	u,l,i,l,i,a
l,i,a,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,l,i,a
l,i,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,i,a
