д,и,г,а,р,ҷ,и,н,с,г,а,р,о,$,COPY	д,и,г,а,р,ҷ,и,н,с,г,а,р,о
д,и,г,а,р,ҷ,и,н,с,г,а,р,о,$,N,SG	д,и,г,а,р,ҷ,и,н,с,г,а,р,о
б,а,д,а,н,$,COPY	б,а,д,а,н
б,а,д,а,н,$,N,NDEF,SG	б,а,д,а,н
с,о,л,$,COPY	с,о,л
с,о,л,$,N,NDEF,SG	с,о,л
г,о,л,$,COPY	г,о,л
г,о,л,$,N,NDEF,SG	г,о,л
м,о,с,т,$,COPY	м,о,с,т
м,о,с,т,$,N,NDEF,SG	м,о,с,т
с,и,ф,а,т,$,COPY	с,и,ф,а,т
с,и,ф,а,т,$,N,NDEF,SG	с,и,ф,а,т
н,у,р,$,COPY	н,у,р
н,у,р,$,N,NDEF,SG	н,у,р
б,о,д,$,COPY	б,о,д
б,о,д,$,N,NDEF,SG	б,о,д
д,у,д,$,COPY	д,у,д
д,у,д,$,N,NDEF,SG	д,у,д
к,и,ш,в,а,р,$,COPY	к,и,ш,в,а,р
к,и,ш,в,а,р,$,N,SG	к,и,ш,в,а,р
к,и,т,о,б,$,COPY	к,и,т,о,б
к,и,т,о,б,$,N,SG	к,и,т,о,б
д,о,к,т,о,р,$,COPY	д,о,к,т,о,р
д,о,к,т,о,р,$,N,NDEF,SG	д,о,к,т,о,р
с,а,б,з,а,$,COPY	с,а,б,з,а
с,а,б,з,а,$,N,NDEF,SG	с,а,б,з,а
б,а,р,о,д,а,р,$,COPY	б,а,р,о,д,а,р
б,а,р,о,д,а,р,$,N,SG	б,а,р,о,д,а,р
ҳ,а,м,с,о,я,$,COPY	ҳ,а,м,с,о,я
ҳ,а,м,с,о,я,$,N,SG	ҳ,а,м,с,о,я
н,а,в,и,с,а,н,д,а,$,COPY	н,а,в,и,с,а,н,д,а
н,а,в,и,с,а,н,д,а,$,N,SG	н,а,в,и,с,а,н,д,а
ҷ,а,з,и,р,а,$,COPY	ҷ,а,з,и,р,а
ҷ,а,з,и,р,а,$,N,SG	ҷ,а,з,и,р,а
д,и,л,$,COPY	д,и,л
д,и,л,$,N,NDEF,SG	д,и,л
н,о,м,$,COPY	н,о,м
н,о,м,$,N,NDEF,SG	н,о,м
т,у,т,$,COPY	т,у,т
т,у,т,$,N,NDEF,SG	т,у,т
д,а,р,$,COPY	д,а,р
д,а,р,$,N,NDEF,SG	д,а,р
з,о,ғ,$,COPY	з,о,ғ
з,о,ғ,$,N,NDEF,SG	з,о,ғ
н,а,м,$,COPY	н,а,м
н,а,м,$,N,NDEF,SG	н,а,м
ҳ,а,й,в,о,н,$,COPY	ҳ,а,й,в,о,н
ҳ,а,й,в,о,н,$,N,SG	ҳ,а,й,в,о,н
л,у,ғ,а,т,$,COPY	л,у,ғ,а,т
л,у,ғ,а,т,$,N,SG	л,у,ғ,а,т
м,е,х,$,COPY	м,е,х
м,е,х,$,N,NDEF,SG	м,е,х
в,о,ж,а,$,COPY	в,о,ж,а
в,о,ж,а,$,N,SG	в,о,ж,а
у,қ,о,б,$,COPY	у,қ,о,б
у,қ,о,б,$,N,SG	у,қ,о,б
з,а,б,о,н,$,COPY	з,а,б,о,н
з,а,б,о,н,$,N,SG	з,а,б,о,н
л,о,л,а,$,COPY	л,о,л,а
л,о,л,а,$,N,NDEF,SG	л,о,л,а
б,а,с,к,е,т,б,о,л,$,COPY	б,а,с,к,е,т,б,о,л
б,а,с,к,е,т,б,о,л,$,N,NDEF,SG	б,а,с,к,е,т,б,о,л
к,а,л,и,м,а,$,COPY	к,а,л,и,м,а
к,а,л,и,м,а,$,N,SG	к,а,л,и,м,а
г,у,р,б,а,$,COPY	г,у,р,б,а
г,у,р,б,а,$,N,SG	г,у,р,б,а
р,е,ш,а,$,COPY	р,е,ш,а
р,е,ш,а,$,N,NDEF,SG	р,е,ш,а
х,о,н,а,в,о,д,а,$,COPY	х,о,н,а,в,о,д,а
х,о,н,а,в,о,д,а,$,N,SG	х,о,н,а,в,о,д,а
д,у,ҷ,и,н,с,г,а,р,о,$,COPY	д,у,ҷ,и,н,с,г,а,р,о
д,у,ҷ,и,н,с,г,а,р,о,$,N,SG	д,у,ҷ,и,н,с,г,а,р,о
ф,и,л,$,COPY	ф,и,л
ф,и,л,$,N,NDEF,SG	ф,и,л
б,у,м,$,COPY	б,у,м
б,у,м,$,N,NDEF,SG	б,у,м
м,а,р,д,у,м,$,COPY	м,а,р,д,у,м
м,а,р,д,у,м,$,N,SG	м,а,р,д,у,м
р,у,с,$,COPY	р,у,с
р,у,с,$,N,NDEF,SG	р,у,с
а,н,г,у,ш,т,$,COPY	а,н,г,у,ш,т
а,н,г,у,ш,т,$,N,SG	а,н,г,у,ш,т
б,е,л,$,COPY	б,е,л
б,е,л,$,N,NDEF,SG	б,е,л
б,и,ё,б,о,н,$,COPY	б,и,ё,б,о,н
б,и,ё,б,о,н,$,N,SG	б,и,ё,б,о,н
х,а,р,$,COPY	х,а,р
х,а,р,$,N,NDEF,SG	х,а,р
б,у,д,а,н,$,COPY	б,у,д,а,н
б,у,д,а,н,$,V,NFIN	б,у,д,а,н
р,а,н,г,$,COPY	р,а,н,г
р,а,н,г,$,N,SG	р,а,н,г
о,ш,$,COPY	о,ш
о,ш,$,N,NDEF,SG	о,ш
м,а,р,т,$,COPY	м,а,р,т
м,а,р,т,$,N,NDEF,SG	м,а,р,т
п,а,р,$,COPY	п,а,р
п,а,р,$,N,NDEF,SG	п,а,р
д,и,н,$,COPY	д,и,н
д,и,н,$,N,NDEF,SG	д,и,н
ҷ,а,в,о,н,$,COPY	ҷ,а,в,о,н
ҷ,а,в,о,н,$,N,SG	ҷ,а,в,о,н
д,а,м,$,COPY	д,а,м
д,а,м,$,N,NDEF,SG	д,а,м
д,н,д,а,б,к,и,н,с,г,н,й,о,$,COPY	д,н,д,а,б,к,и,н,с,г,н,й,о
д,н,д,а,б,к,и,н,с,г,н,й,о,$,N,SG	д,н,д,а,б,к,и,н,с,г,н,й,о
к,а,д,а,з,$,COPY	к,а,д,а,з
к,а,д,а,з,$,N,NDEF,SG	к,а,д,а,з
й,о,л,$,COPY	й,о,л
й,о,л,$,N,NDEF,SG	й,о,л
г,қ,л,$,COPY	г,қ,л
г,қ,л,$,N,NDEF,SG	г,қ,л
м,с,с,т,$,COPY	м,с,с,т
м,с,с,т,$,N,NDEF,SG	м,с,с,т
с,и,е,ҷ,ж,$,COPY	с,и,е,ҷ,ж
с,и,е,ҷ,ж,$,N,NDEF,SG	с,и,е,ҷ,ж
р,у,р,$,COPY	р,у,р
р,у,р,$,N,NDEF,SG	р,у,р
з,о,д,$,COPY	з,о,д
з,о,д,$,N,NDEF,SG	з,о,д
д,у,д,$,N,NDEF,SG	д,у,д
к,т,ш,в,й,р,$,COPY	к,т,ш,в,й,р
к,т,ш,в,й,р,$,N,SG	к,т,ш,в,й,р
и,и,к,ҳ,б,$,COPY	и,и,к,ҳ,б
и,и,к,ҳ,б,$,N,SG	и,и,к,ҳ,б
д,о,й,б,о,р,$,COPY	д,о,й,б,о,р
д,о,й,б,о,р,$,N,NDEF,SG	д,о,й,б,о,р
в,а,б,з,а,$,COPY	в,а,б,з,а
в,а,б,з,а,$,N,NDEF,SG	в,а,б,з,а
б,а,ж,у,х,и,р,$,COPY	б,а,ж,у,х,и,р
б,а,ж,у,х,и,р,$,N,SG	б,а,ж,у,х,и,р
