á,s,a,$,V,IPFV,AGFOC	u,m,a,á,s,a
á,s,a,$,V,PFV,AGFOC	u,m,á,s,a
á,s,a,$,V,PFOC,LGSPEC1	a,á,s,a,h,a,n
á,s,a,$,V,NFIN	á,s,a
á,s,a,$,V,AGFOC,LGSPEC1	a,á,s,a
á,s,a,$,V,PFV,PFOC	i,n,á,s,a,h,a,n
á,s,a,$,V,IPFV,PFOC	i,n,a,á,s,a,h,a,n
l,í,t,o,$,V,PFV,AGFOC	n,a,l,í,t,o
l,í,t,o,$,V,PFOC,LGSPEC1	l,i,l,i,t,u,h,i,n
l,í,t,o,$,V,PFV,PFOC	n,i,l,í,t,o
l,í,t,o,$,V,AGFOC,LGSPEC1	m,a,l,i,l,í,t,o
l,í,t,o,$,V,NFIN	l,í,t,o
l,í,t,o,$,V,IPFV,AGFOC	n,a,l,i,l,í,t,o
l,í,t,o,$,V,IPFV,PFOC	n,i,l,i,l,í,t,o
b,a,l,i,t,a,$,V,PFOC,LGSPEC1	i,b,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,PFV,AGFOC	n,a,g,b,a,l,i,t,a
b,a,l,i,t,a,$,V,PFV,PFOC	b,i,n,a,l,i,t,a
b,a,l,i,t,a,$,V,IPFV,PFOC	b,i,n,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,NFIN	b,a,l,i,t,a
b,a,l,i,t,a,$,V,AGFOC,LGSPEC1	m,a,g,b,a,b,a,l,i,t,a
b,a,l,i,t,a,$,V,IPFV,AGFOC	n,a,g,b,a,b,a,l,i,t,a
g,u,h,i,t,$,V,PFOC,LGSPEC1	g,u,g,u,h,i,t,i,n
g,u,h,i,t,$,V,AGFOC,LGSPEC1	m,a,g,g,u,g,u,h,i,t
g,u,h,i,t,$,V,PFV,PFOC	g,i,n,u,h,i,t
g,u,h,i,t,$,V,IPFV,PFOC	g,i,n,u,g,u,h,i,t
g,u,h,i,t,$,V,PFV,AGFOC	n,a,g,g,u,h,i,t
g,u,h,i,t,$,V,NFIN	g,u,h,i,t
g,u,h,i,t,$,V,IPFV,AGFOC	n,a,g,g,u,g,u,h,i,t
m,á,s,i,d,$,V,PFV,PFOC	m,i,n,á,s,d,a,n
m,á,s,i,d,$,V,AGFOC,LGSPEC1	m,a,g,m,a,m,á,s,i,d
m,á,s,i,d,$,V,IPFV,AGFOC	n,a,g,m,a,m,á,s,i,d
m,á,s,i,d,$,V,NFIN	m,á,s,i,d
m,á,s,i,d,$,V,IPFV,PFOC	m,i,n,a,m,á,s,d,a,n
m,á,s,i,d,$,V,PFOC,LGSPEC1	m,a,m,á,s,d,a,n
m,á,s,i,d,$,V,PFV,AGFOC	n,a,g,m,á,s,i,d
