f,u,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,PRS	n,g,i,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,d,a
f,u,n,d,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,d,e
f,u,n,d,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,d,a
p,h,i,n,d,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,PRS	n,g,i,p,h,i,n,d,a
p,h,i,n,d,a,$,V,SG,1,PST+RCT	n,g,i,p,h,i,n,d,e
v,a,l,a,$,V,SG,1,PST+RCT	n,g,i,v,a,l,e
v,a,l,a,$,V,SG,1,PRS	n,g,i,v,a,l,a
v,a,l,a,$,V,SG,1,PST+RMT	n,g,a,v,a,l,a
v,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,a,l,a
v,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,b,u,l,e
k,h,u,m,b,u,l,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,m,b,u,l,a
t,h,e,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,g,e
t,h,e,n,g,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,g,a
t,h,e,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,n,g,a
m,e,m,a,$,V,SG,1,PRS	n,g,i,m,e,m,a
m,e,m,a,$,V,SG,1,PST+RMT	n,g,a,m,e,m,a
m,e,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
m,e,m,a,$,V,SG,1,PST+RCT	n,g,i,m,e,m,e
m,e,m,a,$,V,SG,1,FUT	n,g,i,y,o,m,e,m,a
n,q,o,b,a,$,V,SG,1,PRS	n,g,i,y,a,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,PST+RMT	n,g,a,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,FUT	n,g,i,y,o,n,q,o,b,a
n,q,o,b,a,$,V,SG,1,PST+RCT	n,g,i,n,q,o,b,e
n,q,o,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,q,o,b,a
s,h,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,o
s,h,o,$,V,SG,1,PST+RCT	n,g,i,s,h,l,o
s,h,o,$,V,SG,1,PRS	n,g,i,y,a,s,h,o
s,h,o,$,V,SG,1,FUT	n,g,i,y,o,s,h,o
s,h,o,$,V,SG,1,PST+RMT	n,g,a,s,h,o
t,h,a,t,h,a,$,V,SG,1,PRS	n,g,i,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,PST+RCT	n,g,i,t,h,a,t,h,e
t,h,a,t,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,h,a
t,h,a,t,h,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,a,t,h,a
l,i,n,d,a,$,V,SG,1,PST+RCT	n,g,i,l,i,n,d,e
l,i,n,d,a,$,V,SG,1,PRS	n,g,i,y,a,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,PST+RMT	n,g,a,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,n,d,a
l,i,n,d,a,$,V,SG,1,FUT	n,g,i,y,o,l,i,n,d,a
d,l,a,l,a,$,V,SG,1,PST+RMT	n,g,a,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,PST+RCT	n,g,i,d,l,a,l,e
d,l,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,l,a,l,a
d,l,a,l,a,$,V,SG,1,PRS	n,g,i,d,l,a,l,a
c,u,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,u,l,a
c,u,l,a,$,V,SG,1,PST+RMT	n,g,a,c,u,l,a
c,u,l,a,$,V,SG,1,PRS	n,g,i,c,u,l,a
c,u,l,a,$,V,SG,1,FUT	n,g,i,y,o,c,u,l,a
c,u,l,a,$,V,SG,1,PST+RCT	n,g,i,c,u,l,e
k,h,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,PST+RMT	n,g,a,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,a,l,a
k,h,a,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,a,l,e
k,h,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,a,l,a
f,u,n,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
f,u,n,a,$,V,SG,1,PRS	n,g,i,f,u,n,a
f,u,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,a
f,u,n,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,a
f,u,n,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,a
n,z,a,$,V,SG,1,PRS	n,g,e,n,z,a
n,z,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,a
n,z,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,z,a
n,z,a,$,V,SG,1,PST+RMT	n,g,e,n,z,a
n,z,a,$,V,SG,1,PST+RCT	n,g,e,n,z,e
c,a,b,a,n,g,a,$,V,SG,1,PRS	n,g,i,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,PST+RCT	n,g,i,c,a,b,a,n,g,e
c,a,b,a,n,g,a,$,V,SG,1,PST+RMT	n,g,a,c,a,b,a,n,g,a
c,a,b,a,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,a,n,g,a
h,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,h,l,a,l,e, ,p,h,a,n,s,i
