হ,ও,য,়,া,&,হ,ৃ,য,়,া,#,হ,ৃ,য,়,া,$,COPY	হ,ও,য,়,া
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ো,$,V,PROG,3,INFM,PRS	হ,চ,্,ছ,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ল,ো,$,V,2,POL,PST	হ,ল,ো
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ে,$,V,PROG,2,POL,PRS	হ,চ,্,ছ,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,ে,ন,$,V,HAB,3,POL,PST	হ,ত,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,স,$,V,2,PRS,LGSPEC1	হ,স
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,চ,্,ছ,ি,ল,া,ম,$,V,PROG,1,PST	হ,চ,্,ছ,ি,ল,া,ম
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ল,ে,$,V,3,INFM,PST	হ,ল,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ব,ে,$,V,3,INFM,FUT	হ,ব,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ে,ন,$,V,PRF,3,POL,PRS	হ,য,়,ে,ছ,ে,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,ে,$,V,HAB,3,INFM,PST	হ,ত,ে
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,ল,ি,$,V,PRF,2,PST,LGSPEC1	হ,য,়,ে,ছ,ি,ল,ি
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,ত,ি,স,$,V,HAB,2,PST,LGSPEC1	হ,ত,ি,স
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,া,ন,$,V,3,POL,PRS	হ,ন
হ,ও,য,়,া,&,প,া,ও,য,়,া,#,প,ে,য,়,ে,ছ,ি,ল,ে,$,V,PRF,3,INFM,PST	হ,য,়,ে,ছ,ি,ল,ে
