m,o,u,s,a,b,&,m,o,u,b,a,b,#,m,o,u,b,a,b,$,COPY	m,o,u,s,a,b
m,o,u,s,a,b,&,m,o,u,p,a,b,#,m,o,u,p,a,b,$,V,FUT	m,o,u,s,a,b
m,o,u,s,a,b,&,m,o,u,s,n,b,#,n,i,u,s,n,b,$,V,PST	n,i,u,s,a,b
m,o,u,s,a,b,&,m,o,u,s,h,b,#,n,a,g,-,u,s,h,b,$,V,PRS	n,a,g,-,u,s,a,b
m,o,u,s,a,b,&,m,o,b,s,a,b,#,m,o,b,s,a,b,$,V,NFIN	m,o,u,s,a,b
m,o,u,s,a,b,&,m,o,u,s,a,u,#,n,a,u,s,a,u,$,V,PRF,PST	n,a,u,s,a,b
m,o,u,s,a,b,&,m,o,u,s,e,b,#,n,i,n,g,-,u,s,e,b,$,V,PROG,PRS	n,i,n,g,-,u,s,a,b
m,o,s,u,l,t,i,&,m,o,s,u,l,n,i,#,m,o,s,u,l,n,i,$,COPY	m,o,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,s,u,-,t,i,#,n,i,n,g,s,u,-,t,i,$,V,PROG,PRS	n,i,n,g,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,w,u,l,t,i,#,m,o,w,u,l,t,i,$,V,NFIN	m,o,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,s,l,l,t,i,#,m,o,s,l,l,t,i,$,V,FUT	m,o,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,s,u,l,t,a,#,n,a,s,u,l,t,a,$,V,PRF,PST	n,a,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,s,u,i,p,i,#,n,a,g,s,u,i,p,i,$,V,PRS	n,a,g,s,u,l,t,i
m,o,s,u,l,t,i,&,m,o,s,u,m,t,i,#,n,i,s,u,m,t,i,$,V,PST	n,i,s,u,l,t,i
m,o,h,i,n,u,m,d,o,m,&,m,u,m,s,n,u,g,d,o,m,#,m,u,m,s,n,u,g,d,o,m,$,COPY	m,o,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,h,i,n,u,u,w,o,m,#,n,i,h,i,n,u,u,w,o,m,$,V,PST	n,i,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,h,p,n,l,u,k,o,m,#,n,a,h,p,n,l,u,k,o,m,$,V,PRF,PST	n,a,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,h,i,n,u,-,d,o,m,#,n,a,g,h,i,n,u,-,d,o,m,$,V,PRS	n,a,g,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,h,i,o,u,m,d,o,m,#,n,i,n,g,h,i,o,u,m,d,o,m,$,V,PROG,PRS	n,i,n,g,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,h,i,n,e,m,a,o,m,#,m,o,h,i,n,e,m,a,o,m,$,V,FUT	m,o,h,i,n,u,m,d,o,m
m,o,h,i,n,u,m,d,o,m,&,m,o,a,i,n,u,m,d,o,m,#,m,o,a,i,n,u,m,d,o,m,$,V,NFIN	m,o,h,i,n,u,m,d,o,m
m,o,s,a,b,o,t,&,m,-,u,a,b,o,t,#,m,-,u,a,b,o,t,$,COPY	m,o,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,s,a,t,o,t,#,n,a,g,s,a,t,o,t,$,V,PRS	n,a,g,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,s,a,b,i,t,#,m,o,s,a,b,i,t,$,V,FUT	m,o,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,-,a,b,o,y,#,n,i,n,g,-,a,b,o,y,$,V,PROG,PRS	n,i,n,g,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,s,o,b,o,t,#,m,o,s,o,b,o,t,$,V,NFIN	m,o,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,s,a,b,m,t,#,n,i,s,a,b,m,t,$,V,PST	n,i,s,a,b,o,t
m,o,s,a,b,o,t,&,m,o,b,b,b,o,t,#,n,a,b,b,b,o,t,$,V,PRF,PST	n,a,s,a,b,o,t
m,o,g,u,n,i,t,&,m,o,t,u,n,i,t,#,m,o,t,u,n,i,t,$,COPY	m,o,g,u,n,i,t
