m,o,t,a,n,-,a,w,&,m,o,t,a,n,a,g,#,m,o,t,a,n,a,g,$,V,NFIN	m,o,t,a,n,-,a,w
m,o,t,a,n,-,a,w,&,m,o,p,a,t,i,n,-,a,w,#,n,i,p,a,t,i,n,-,a,w,$,V,PST	n,i,t,a,n,-,a,w
m,o,t,a,n,-,a,w,&,m,o,t,a,-,a,g,#,n,a,t,a,-,a,g,$,V,PRF,PST	n,a,t,a,n,-,a,w
m,o,t,a,n,-,a,w,&,m,o,t,a,k,a,w,#,n,i,n,g,t,a,k,a,w,$,V,PROG,PRS	n,i,n,g,t,a,n,-,a,w
m,o,t,a,n,-,a,w,&,m,o,g,a,n,a,w,#,m,o,g,a,n,a,w,$,V,FUT	m,o,t,a,n,-,a,w
m,o,t,a,n,-,a,w,&,m,o,p,a,t,i,n,-,a,w,#,n,a,g,p,a,t,i,n,-,a,w,$,V,PRS	n,a,g,t,a,n,-,a,w
m,a,b,u,h,i,&,m,a,s,s,h,i,#,m,a,s,s,h,i,$,V,FUT	m,a,b,u,h,i
m,a,b,u,h,i,&,m,o,b,u,h,w,i,#,n,a,g,b,u,h,w,i,$,V,PRS	n,a,b,u,h,i
m,a,b,u,h,i,&,m,a,m,u,t,i,#,m,a,m,u,t,i,$,V,NFIN	m,a,b,u,h,i
m,a,b,u,h,i,&,m,a,b,a,u,i,#,n,a,g,p,a,b,a,u,i,$,V,PROG,PRS	n,a,g,p,a,k,a,b,u,h,i
m,a,b,u,h,i,&,m,o,b,u,r,i,#,n,i,b,u,r,i,$,V,PST	n,a,b,u,h,i
m,a,b,u,h,i,&,m,a,m,u,t,i,#,n,a,k,a,p,a,m,u,t,i,$,V,PRF,PST	n,a,b,u,h,i
m,a,k,a,h,i,b,a,l,o,&,m,a,k,a,b,i,b,g,l,g,#,n,a,k,a,b,i,b,g,l,g,$,V,PST	n,a,k,a,h,i,b,a,l,o
m,a,k,a,h,i,b,a,l,o,&,m,a,h,i,n,a,l,o,#,n,i,n,g,h,i,n,a,l,o,$,V,PROG,PRS	n,a,h,i,b,a,l,o
m,a,k,a,h,i,b,a,l,o,&,m,a,h,i,t,a,b,o,#,m,a,h,i,t,a,b,o,$,V,NFIN	m,a,k,a,h,i,b,a,l,o
m,a,k,a,h,i,b,a,l,o,&,m,a,h,i,t,a,b,o,#,m,o,h,i,t,a,b,o,$,V,FUT	m,a,k,a,h,i,b,a,l,o
m,a,k,a,h,i,b,a,l,o,&,m,a,h,i,t,a,l,o,#,n,a,h,i,t,a,l,o,$,V,PRF,PST	n,a,h,i,b,a,l,o,-,a,n
m,a,k,a,h,i,b,a,l,o,&,m,a,h,i,t,a,b,o,#,n,a,g,h,i,t,a,b,o,$,V,PRS	n,a,h,i,b,a,l,o
d,a,w,&,a,d,u,a,a,#,a,d,u,a,a,$,V,PST	d,a,w
d,a,w,&,p,d,a,n,w,#,p,d,a,n,w,$,V,PRF,PST	d,a,w
d,a,w,&,w,d,t,a,a,#,w,d,t,a,a,$,V,FUT	d,a,w
