m,e,e,p,&,m,e,h,p,#,m,e,h,p,$,COPY	m,e,e,p
m,e,e,p,&,m,e,a,e,#,m,e,a,e,s,$,V,SG,3,PRS	m,e,e,p,s
m,e,e,p,&,m,e,e,v,#,m,e,e,v,e,d,$,V,PST	m,e,e,p,e,d
m,e,e,p,&,m,e,p,p,#,m,e,p,p,$,V,NFIN	m,e,e,p
m,e,e,p,&,m,e,e,h,#,m,e,e,h,e,d,$,V.PTCP,PST	m,e,e,p,e,d
m,e,e,p,&,m,p,s,p,#,m,p,s,p,i,n,g,$,V.PTCP,PRS	m,e,e,p,i,n,g
s,h,a,m,&,s,t,a,m,#,s,t,a,m,$,COPY	s,h,a,m
s,h,a,m,&,s,e,a,m,#,s,e,a,m,m,i,n,g,$,V.PTCP,PRS	s,h,a,m,m,i,n,g
s,h,a,m,&,s,a,a,k,#,s,a,a,k,$,V,NFIN	s,h,a,m
s,h,a,m,&,i,h,a,m,#,i,h,a,m,m,e,d,$,V,PST	s,h,a,m,m,e,d
s,h,a,m,&,s,t,a,m,#,s,t,a,m,s,$,V,SG,3,PRS	s,h,a,m,s
s,h,a,m,&,s,o,a,m,#,s,o,a,m,m,e,d,$,V.PTCP,PST	s,h,a,m,m,e,d
k,y,k,e,&,u,y,k,e,#,u,y,k,e,$,COPY	k,y,k,e
k,y,k,e,&,k,y,',e,#,k,y,',e,d,$,V,PST	k,y,k,e,d
k,y,k,e,&,k,c,k,e,#,k,c,k,e,$,V,NFIN	k,y,k,e
k,y,k,e,&,i,y,a,e,#,i,y,a,i,n,g,$,V.PTCP,PRS	k,y,k,i,n,g
k,y,k,e,&,k,d,k,m,#,k,d,k,m,s,$,V,SG,3,PRS	k,y,k,e,s
k,y,k,e,&,k,y,g,b,#,k,y,g,b,d,$,V.PTCP,PST	k,y,k,e,d
r,e,d,s,h,i,r,t,&,r,e,d,s,h,i,k,t,#,r,e,d,s,h,i,k,t,$,COPY	r,e,d,s,h,i,r,t
r,e,d,s,h,i,r,t,&,r,e,d,n,h,i,a,t,#,r,e,d,n,h,i,a,t,s,$,V,SG,3,PRS	r,e,d,s,h,i,r,t,s
r,e,d,s,h,i,r,t,&,r,e,d,s,q,i,',t,#,r,e,d,s,q,i,',t,e,d,$,V,PST	r,e,d,s,h,i,r,t,e,d
r,e,d,s,h,i,r,t,&,r,b,d,s,h,i,t,t,#,r,b,d,s,h,i,t,t,$,V,NFIN	r,e,d,s,h,i,r,t
r,e,d,s,h,i,r,t,&,r,e,C,s,h,i,r,t,#,r,e,C,s,h,i,r,t,i,n,g,$,V.PTCP,PRS	r,e,d,s,h,i,r,t,i,n,g
r,e,d,s,h,i,r,t,&,r,e,d,s,h,i,d,t,#,r,e,d,s,h,i,d,t,e,d,$,V.PTCP,PST	r,e,d,s,h,i,r,t,e,d
f,a,k,e,&,f,a,f,e,#,f,a,f,e,$,COPY	f,a,k,e
f,a,k,e,&,k,a,k,e,#,k,a,k,e,s,$,V,SG,3,PRS	f,a,k,e,s
f,a,k,e,&,f,a,y,e,#,f,a,y,e,d,$,V,PST	f,a,k,e,d
f,a,k,e,&,v,a,k,v,#,v,a,k,v,$,V,NFIN	f,a,k,e
f,a,k,e,&,C,d,k,e,#,C,d,k,i,n,g,$,V.PTCP,PRS	f,a,k,i,n,g
f,a,k,e,&,f,z,k,e,#,f,z,k,e,d,$,V.PTCP,PST	f,a,k,e,d
r,e,t,c,h,&,r,e,w,k,h,#,r,e,w,k,h,$,COPY	r,e,t,c,h
r,e,t,c,h,&,r,k,t,c,h,#,r,k,t,c,h,e,d,$,V,PST	r,e,t,c,h,e,d
r,e,t,c,h,&,r,f,t,c,h,#,r,f,t,c,h,i,n,g,$,V.PTCP,PRS	r,e,t,c,h,i,n,g
r,e,t,c,h,&,r,e,m,c,h,#,r,e,m,c,h,$,V,NFIN	r,e,t,c,h
r,e,t,c,h,&,h,e,t,c,h,#,h,e,t,c,h,e,d,$,V.PTCP,PST	r,e,t,c,h,e,d
r,e,t,c,h,&,r,e,t,c,b,#,r,e,t,c,b,e,s,$,V,SG,3,PRS	r,e,t,c,h,e,s
m,e,t,a,b,o,l,i,z,e,&,m,e,t,v,b,o,l,i,z,e,#,m,e,t,v,b,o,l,i,z,e,$,COPY	m,e,t,a,b,o,l,i,z,e
m,e,t,a,b,o,l,i,z,e,&,m,e,t,a,b,o,k,i,z,e,#,m,e,t,a,b,o,k,i,z,e,s,$,V,SG,3,PRS	m,e,t,a,b,o,l,i,z,e,s
m,e,t,a,b,o,l,i,z,e,&,m,-,v,u,b,j,l,i,z,e,#,m,-,v,u,b,j,l,i,z,i,n,g,$,V.PTCP,PRS	m,e,t,a,b,o,l,i,z,i,n,g
m,e,t,a,b,o,l,i,z,e,&,m,e,t,a,b,o,l,d,z,e,#,m,e,t,a,b,o,l,d,z,e,d,$,V,PST	m,e,t,a,b,o,l,i,z,e,d
m,e,t,a,b,o,l,i,z,e,&,m,e,y,a,t,q,l,i,z,e,#,m,e,y,a,t,q,l,i,z,e,d,$,V.PTCP,PST	m,e,t,a,b,o,l,i,z,e,d
m,e,t,a,b,o,l,i,z,e,&,m,e,t,i,b,o,l,i,z,e,#,m,e,t,i,b,o,l,i,z,e,$,V,NFIN	m,e,t,a,b,o,l,i,z,e
a,t,s,h,a,k,e,&,a,t,s,d,a,k,e,#,a,t,s,d,a,k,e,$,COPY	a,t,s,h,a,k,e
a,t,s,h,a,k,e,&,a,p,s,r,k,k,e,#,a,p,s,r,k,k,i,n,g,$,V.PTCP,PRS	a,t,s,h,a,k,i,n,g
a,t,s,h,a,k,e,&,a,i,s,h,k,k,e,#,a,i,s,h,k,k,e,s,$,V,SG,3,PRS	a,t,s,h,a,k,e,s
a,t,s,h,a,k,e,&,a,s,s,r,a,k,e,#,a,s,s,r,o,o,k,$,V,PST	a,t,s,h,o,o,k
a,t,s,h,a,k,e,&,a,s,s,h,g,k,e,#,a,s,s,h,g,k,e,$,V,NFIN	a,t,s,h,a,k,e
a,t,s,h,a,k,e,&,a,t,w,h,w,k,e,#,a,t,w,h,w,k,e,n,$,V.PTCP,PST	a,t,s,h,a,k,e,n
a,p,p,l,a,u,d,&,a,p,p,',a,u,d,#,a,p,p,',a,u,d,$,COPY	a,p,p,l,a,u,d
a,p,p,l,a,u,d,&,a,g,p,j,a,u,d,#,a,g,p,j,a,u,d,i,n,g,$,V.PTCP,PRS	a,p,p,l,a,u,d,i,n,g
a,p,p,l,a,u,d,&,a,p,p,l,a,j,d,#,a,p,p,l,a,j,d,s,$,V,SG,3,PRS	a,p,p,l,a,u,d,s
