r,e,a,l,t,e,r,&,p,l,o,t,t,e,r,#,p,l,o,t,t,e,r,e,d,$,V.PTCP,PST	r,e,a,l,t,e,r,e,d
r,e,a,l,t,e,r,&,p,l,o,t,t,e,r,#,p,l,o,t,t,e,r,$,V,NFIN	r,e,a,l,t,e,r
r,e,a,l,t,e,r,&,p,l,o,t,t,e,r,#,p,l,o,t,t,e,r,s,$,V,SG,3,PRS	r,e,a,l,t,e,r,s
r,e,a,l,t,e,r,&,p,l,o,t,t,e,r,#,p,l,o,t,t,e,r,i,n,g,$,V.PTCP,PRS	r,e,a,l,t,e,r,i,n,g
r,e,a,l,t,e,r,&,p,l,o,t,t,e,r,#,p,l,o,t,t,e,r,e,d,$,V,PST	r,e,a,l,t,e,r,e,d
b,i,r,l,&,i,n,s,c,f,o,r,l,#,i,n,s,c,f,o,r,l,s,$,V,SG,3,PRS	b,i,r,l,s
b,i,r,l,&,x,r,l,#,x,r,l,e,d,$,V.PTCP,PST	b,i,r,l,e,d
b,i,r,l,&,s,o,u,l,#,s,o,u,l,i,n,g,$,V.PTCP,PRS	b,i,r,l,i,n,g
b,i,r,l,&,d,o,j,o,q,t,r,l,#,d,o,j,o,q,t,r,l,$,V,NFIN	b,i,r,l
b,i,r,l,&,s,o,u,l,#,s,o,u,l,e,d,$,V,PST	b,i,r,l,e,d
a,b,s,c,o,n,d,&,r,o,n,d,#,r,o,n,d,s,$,V,SG,3,PRS	a,b,s,c,o,n,d,s
a,b,s,c,o,n,d,&,r,i,n,d,#,r,i,n,d,i,n,g,$,V.PTCP,PRS	a,b,s,c,o,n,d,i,n,g
a,b,s,c,o,n,d,&,r,i,n,d,#,r,i,n,d,$,V,NFIN	a,b,s,c,o,n,d
a,b,s,c,o,n,d,&,w,p,-,o,n,d,#,w,p,-,o,n,d,e,d,$,V,PST	a,b,s,c,o,n,d,e,d
a,b,s,c,o,n,d,&,r,i,n,d,#,r,i,n,d,e,d,$,V.PTCP,PST	a,b,s,c,o,n,d,e,d
w,a,f,e,r,&,g,k,b,f,e,r,#,g,k,b,f,e,r,e,d,$,V,PST	w,a,f,e,r,e,d
w,a,f,e,r,&,d,i,m,é,e,n,-,v,f,e,r,#,d,i,m,é,e,n,-,v,f,e,r,s,$,V,SG,3,PRS	w,a,f,e,r,s
w,a,f,e,r,&,l,e,g,e,r,#,l,e,g,e,r,e,d,$,V.PTCP,PST	w,a,f,e,r,e,d
w,a,f,e,r,&,p,l,o,t,f,e,r,#,p,l,o,t,f,e,r,i,n,g,$,V.PTCP,PRS	w,a,f,e,r,i,n,g
w,a,f,e,r,&,l,e,g,e,r,#,l,e,g,e,r,$,V,NFIN	w,a,f,e,r
p,a,r,a,g,r,a,p,h,&,g,r,a,t,p,h,#,g,r,a,t,p,h,e,d,$,V.PTCP,PST	p,a,r,a,g,r,a,p,h,e,d
p,a,r,a,g,r,a,p,h,&,b,e,C,x,i,s,p,h,#,b,e,C,x,i,s,p,h,i,n,g,$,V.PTCP,PRS	p,a,r,a,g,r,a,p,h,i,n,g
p,a,r,a,g,r,a,p,h,&,r,x,p,f,t,n,x,p,h,#,r,x,p,f,t,n,x,p,h,e,d,$,V,PST	p,a,r,a,g,r,a,p,h,e,d
p,a,r,a,g,r,a,p,h,&,x,a,p,h,#,x,a,p,h,e,s,$,V,SG,3,PRS	p,a,r,a,g,r,a,p,h,s
p,a,r,a,g,r,a,p,h,&,f,C,r,p,h,#,f,C,r,p,h,$,V,NFIN	p,a,r,a,g,r,a,p,h
r,i,g,o,u,r,i,s,e,&,g,i,s,e,#,g,i,s,e,s,$,V,SG,3,PRS	r,i,g,o,u,r,i,s,e,s
r,i,g,o,u,r,i,s,e,&,g,i,s,e,#,g,i,s,i,n,g,$,V.PTCP,PRS	r,i,g,o,u,r,i,s,i,n,g
r,i,g,o,u,r,i,s,e,&,g,i,s,e,#,g,i,s,e,d,$,V.PTCP,PST	r,i,g,o,u,r,i,s,e,d
r,i,g,o,u,r,i,s,e,&,g,i,s,e,#,g,i,s,e,d,$,V,PST	r,i,g,o,u,r,i,s,e,d
r,i,g,o,u,r,i,s,e,&,v,k,j,c,k,r,i,s,e,#,v,k,j,c,k,r,i,s,e,$,V,NFIN	r,i,g,o,u,r,i,s,e
k,i,t,e,s,u,r,f,&,w,e,t,p,r,o,o,f,#,w,e,t,p,r,o,o,f,s,$,V,SG,3,PRS	k,i,t,e,s,u,r,f,s
k,i,t,e,s,u,r,f,&,w,e,t,p,r,o,o,f,#,w,e,t,p,r,o,o,f,$,V,NFIN	k,i,t,e,s,u,r,f
k,i,t,e,s,u,r,f,&,w,e,t,p,r,o,o,f,#,w,e,t,p,r,o,o,f,i,n,g,$,V.PTCP,PRS	k,i,t,e,s,u,r,f,i,n,g
k,i,t,e,s,u,r,f,&,w,e,t,p,r,o,o,f,#,w,e,t,p,r,o,o,f,e,d,$,V,PST	k,i,t,e,s,u,r,f,e,d
k,i,t,e,s,u,r,f,&,w,e,t,p,r,o,o,f,#,w,e,t,p,r,o,o,f,e,d,$,V.PTCP,PST	k,i,t,e,s,u,r,f,e,d
s,c,r,e,w,t,a,p,e,&,v,a,p,e,#,v,a,p,e,$,V,NFIN	s,c,r,e,w,t,a,p,e
s,c,r,e,w,t,a,p,e,&,v,a,p,e,#,v,a,p,i,n,g,$,V.PTCP,PRS	s,c,r,e,w,t,a,p,i,n,g
s,c,r,e,w,t,a,p,e,&,v,a,p,e,#,v,a,p,e,s,$,V,SG,3,PRS	s,c,r,e,w,t,a,p,e,s
s,c,r,e,w,t,a,p,e,&,v,a,p,e,#,v,a,p,e,d,$,V,PST	s,c,r,e,w,t,a,p,e,d
