झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,े, ,थ,े,$,V,PRF,MASC,PL,1,PST	झ,ू,म,े, ,थ,े
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ी, ,ह,ो,त,ी,$,V,HAB,FEM,PL,1,LGSPEC4	झ,ू,म,त,ी, ,ह,ो,त,ी
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ी, ,ह,ै,$,V,PRF,FEM,SG,2,PRS	झ,ू,म,ी, ,ह,ै
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ी, ,ह,ै,ं,$,V,PROG,FEM,PL,3,PRS	झ,ू,म, ,र,ह,ी, ,ह,ै,ं
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ी, ,ह,ो,ग,ी,$,V,PRF,FEM,SG,2,LGSPEC3	झ,ू,म,ी, ,ह,ो,ग,ी
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ा, ,ह,ो,ग,ा,$,V,PRF,MASC,SG,2,LGSPEC3	झ,ू,म,ा, ,ह,ो,ग,ा
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ी, ,थ,ी,ं,$,V,PROG,FEM,PL,2,PST	झ,ू,म, ,र,ह,ी, ,थ,ी,ं
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ी, ,ह,ो,ं,$,V,HAB,FEM,SBJV,PL,3	झ,ू,म,त,ी, ,ह,ो,ं
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ा, ,ह,ै,$,V,PROG,MASC,SG,2,PRS	झ,ू,म, ,र,ह,ा, ,ह,ै
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ी, ,ह,ो,$,V,HAB,FEM,SBJV,SG,2	झ,ू,म,त,ी, ,ह,ो
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ी, ,थ,ी,$,V,PRF,FEM,SG,1,PST	झ,ू,म,ी, ,थ,ी
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ी, ,ह,ो,ं,$,V,PROG,FEM,SBJV,PL,3	झ,ू,म, ,र,ह,ी, ,ह,ो,ं
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ा, ,थ,ा,$,V,PROG,MASC,SG,3,PST	झ,ू,म, ,र,ह,ा, ,थ,ा
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,े, ,ह,ो,$,V,HAB,MASC,PL,2,PRS	झ,ू,म,त,े, ,ह,ो
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,े, ,ह,ो,$,V,PROG,MASC,PL,2,PRS	झ,ू,म, ,र,ह,े, ,ह,ो
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ी, ,ह,ू,ँ,ग,ी,$,V,PRF,FEM,SG,1,LGSPEC3	झ,ू,म,ी, ,ह,ू,ँ,ग,ी
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ा, ,ह,ू,ँ,ग,ा,$,V,HAB,MASC,SG,1,LGSPEC3	झ,ू,म,त,ा, ,ह,ू,ँ,ग,ा
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़, ,र,ह,ा, ,थ,ा,$,V,PROG,MASC,SG,2,PST	झ,ू,म, ,र,ह,ा, ,थ,ा
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ी, ,ह,ो,$,V,HAB,FEM,SBJV,SG,3	झ,ू,म,त,ी, ,ह,ो
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ी, ,ह,ो,ं,$,V,PRF,FEM,SBJV,PL,1	झ,ू,म,ी, ,ह,ो,ं
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,त,ा, ,ह,ो,त,ा,$,V,HAB,MASC,SG,3,LGSPEC4	झ,ू,म,त,ा, ,ह,ो,त,ा
झ,ू,म,न,ा,&,झ,ा,ड,़,न,ा,#,झ,ा,ड,़,ा, ,ह,ू,ँ,$,V,PRF,MASC,SG,1,PRS	झ,ू,म,ा, ,ह,ू,ँ
