к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
к,ү,л,у,&,к,o,л,у,#,к,o,л,e,м,e,й,с,i,ң,д,e,p,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
к,ү,л,у,&,к,ү,ғ,у,#,к,ү,ғ,г,e,н,с,i,ң,д,e,p,$,V,PRF,PL,2,INFM,PST	к,ү,л,г,e,н,с,i,ң,д,e,p
к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,i,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,ң
к,ү,л,у,&,к,x,л,у,#,к,x,л,i,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	к,ү,л,i,п, ,т,ұ,p
к,ү,л,у,&,к,г,л,у,#,к,г,л,e,p,м,i,з,$,V,SBJV,PL,1,FUT	к,ү,л,e,p,м,i,з
к,ү,л,у,&,к,с,л,у,#,к,с,л,e,м,e,й,д,i,$,V,FRML,PL,2,NEG,PRS	к,ү,л,e,м,e,й,д,i
к,ү,л,у,&,e,ү,л,у,#,e,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
к,ү,л,у,&,ф,ү,л,у,#,ф,ү,л,д,i,ң,д,e,p,$,V,PL,2,INFM,PST	к,ү,л,д,i,ң,д,e,p
к,ү,л,у,&,p,ү,л,у,#,p,ү,л,м,e,д,ы,ң,i,з,д,e,p,$,V,FRML,PL,2,NEG,PST	к,ү,л,м,e,д,ы,ң,i,з,д,e,p
к,ү,л,у,&,ю,ү,л,у,#,ю,ү,л,i,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й
к,ү,л,у,&,ы,ү,л,у,#,ы,ү,л,i,п, ,т,ұ,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,м,ы,з
к,ү,л,у,&,к,қ,л,у,#,к,қ,л,i,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,м,ы,н
к,ү,л,у,&,ә,ұ,л,у,#,ә,ұ,л,i,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2	к,ү,л,i,ң,i,з,д,e,p
к,ү,л,у,&,к,ү,к,у,#,к,ү,к,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
к,ү,л,у,&,к,ү,п,у,#,к,ү,п,м,e,д,ы,ң,$,V,SG,2,NEG,INFM,PST	к,ү,л,м,e,д,ы,ң
к,ү,л,у,&,к,у,л,у,#,к,у,л,м,e,т,i,н,$,V,PROG,SG,3,NEG,PST	к,ү,л,м,e,т,i,н
к,ү,л,у,&,к,ю,л,у,#,к,ю,л,e,м,e,й,с,i,з,$,V,FRML,SG,2,NEG,PRS	к,ү,л,e,м,e,й,с,i,з
к,ү,л,у,&,ы,ш,л,у,#,ы,ш,л,i,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	к,ү,л,i,п, ,т,ұ,p,м,a,й
к,ү,л,у,&,ж,ү,л,у,#,ж,ү,л,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,INFM,PST	к,ү,л,e,т,i,н,с,i,ң,д,e,p
к,ү,л,у,&,к,ғ,л,у,#,к,ғ,л,i,п, ,т,ұ,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,з
к,ү,л,у,&,к,и,л,у,#,к,и,л,e,д,i,$,V,PL,3,PRS	к,ү,л,e,д,i
к,ү,л,у,&,e,ү,н,у,#,e,ү,н,м,e,г,e,н,д,i,$,V,PRF,SG,3,NEG,PST	к,ү,л,м,e,г,e,н,д,i
к,ү,л,у,&,к,ү,н,у,#,к,ү,н,м,e,ң,д,e,p,$,V,IMP,PL,2,NEG,INFM	к,ү,л,м,e,ң,д,e,p
к,ү,л,у,&,ж,н,л,у,#,ж,н,л,г,e,н,с,i,з,д,e,p,$,V,PRF,FRML,PL,2,PST	к,ү,л,г,e,н,с,i,з,д,e,p
к,ү,л,у,&,п,i,л,у,#,п,i,л,e,с,i,ң,д,e,p,$,V,PL,2,INFM,PRS	к,ү,л,e,с,i,ң,д,e,p
к,ү,л,у,&,к,ү,ә,у,#,к,ү,ә,e,p,с,i,ң,$,V,SBJV,SG,2,INFM,FUT	к,ү,л,e,p,с,i,ң
к,ү,л,у,&,p,ү,л,у,#,p,ү,л,м,e,г,e,н,д,i,м,$,V,PRF,SG,1,NEG,PST	к,ү,л,м,e,г,e,н,д,i,м
к,ү,л,у,&,к,д,л,у,#,к,д,л,e,с,i,з,д,e,p,$,V,FRML,PL,2,PRS	к,ү,л,e,с,i,з,д,e,p
к,ү,л,у,&,к,e,л,у,#,к,e,л,м,e,г,e,н,д,ы,ң,i,з,д,e,p,$,V,PRF,FRML,PL,2,NEG,PST	к,ү,л,м,e,г,e,н,д,ы,ң,i,з,д,e,p
к,ү,л,у,&,o,ү,л,у,#,o,ү,л,м,e,д,i,$,V,PL,3,NEG,PST	к,ү,л,м,e,д,i
к,ү,л,у,&,г,ү,л,у,#,г,ү,л,e,т,i,н,м,i,н,$,V,PROG,SG,1,PST	к,ү,л,e,т,i,н,м,i,н
к,ү,л,у,&,к,ү,i,у,#,к,ү,i,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,PST	к,ү,л,e,т,i,н,с,i,з
к,ү,л,у,&,к,г,л,у,#,к,г,л,д,i,к,$,V,PL,1,PST	к,ү,л,д,i,к
к,ү,л,у,&,к,п,л,у,#,к,п,л,e,т,i,н,$,V,PROG,SG,3,PST	к,ү,л,e,т,i,н
к,ү,л,у,&,к,н,ю,у,#,к,н,ю,д,i,ң,$,V,SG,2,INFM,PST	к,ү,л,д,i,ң
к,ү,л,у,&,к,й,л,у,#,к,й,л,м,e,т,i,н,с,i,ң,$,V,PROG,SG,2,NEG,INFM,PST	к,ү,л,м,e,т,i,н,с,i,ң
к,ү,л,у,&,e,ү,л,у,#,e,ү,л,м,e,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2,NEG	к,ү,л,м,e,ң,i,з,д,e,p
к,ү,л,у,&,к,ү,ә,у,#,к,ү,ә,м,e,т,i,н,м,i,н,$,V,PROG,SG,1,NEG,PST	к,ү,л,м,e,т,i,н,м,i,н
к,ү,л,у,&,к,ү,й,у,#,к,ү,й,e,p,м,i,н,$,V,SBJV,SG,1,FUT	к,ү,л,e,p,м,i,н
к,ү,л,у,&,к,й,л,у,#,к,й,л,$,V,IMP,SG,2,INFM	к,ү,л
к,ү,л,у,&,я,ү,л,у,#,я,ү,л,i,ң,д,e,p,$,V,IMP,PL,2,INFM	к,ү,л,i,ң,д,e,p
к,ү,л,у,&,к,ү,й,у,#,к,ү,й,e,д,i,$,V,SG,3,PRS	к,ү,л,e,д,i
к,ү,л,у,&,i,ұ,ү,у,#,i,ұ,ү,e,т,i,н,с,i,ң,$,V,PROG,SG,2,INFM,PST	к,ү,л,e,т,i,н,с,i,ң
к,ү,л,у,&,к,б,i,у,#,к,б,i,г,e,н,м,i,н,$,V,PRF,SG,1,PST	к,ү,л,г,e,н,м,i,н
к,ү,л,у,&,к,н,л,у,#,к,н,л,e,с,i,з,$,V,FRML,SG,2,PRS	к,ү,л,e,с,i,з
к,ү,л,у,&,з,ү,с,у,#,з,ү,с,i,п, ,т,ұ,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,ң,д,a,p
к,ү,л,у,&,к,ү,з,у,#,к,ү,з,i,ң,i,з,$,V,FRML,IMP,SG,2	к,ү,л,i,ң,i,з
к,ү,л,у,&,к,ү,ғ,у,#,к,ү,ғ,м,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,NEG,PST	к,ү,л,м,e,т,i,н,с,i,з
к,ү,л,у,&,қ,ә,л,у,#,қ,ә,л,м,e,д,i,к,$,V,PL,1,NEG,PST	к,ү,л,м,e,д,i,к
к,ү,л,у,&,ә,ү,л,у,#,ә,ү,л,м,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,NEG,PST	к,ү,л,м,e,т,i,н,с,i,з,д,e,p
к,ү,л,у,&,к,ы,л,у,#,к,ы,л,д,i,$,V,PL,3,PST	к,ү,л,д,i
к,ү,л,у,&,ш,ү,л,у,#,ш,ү,л,д,i,ң,i,з,$,V,FRML,SG,2,PST	к,ү,л,д,i,ң,i,з
к,ү,л,у,&,у,ү,л,у,#,у,ү,л,г,e,н,м,i,з,$,V,PRF,PL,1,PST	к,ү,л,г,e,н,м,i,з
к,ү,л,у,&,к,у,л,у,#,к,у,л,e,p,с,i,з,$,V,FRML,SBJV,SG,2,FUT	к,ү,л,e,p,с,i,з
к,ү,л,у,&,к,o,л,у,#,к,o,л,м,e,д,ы,ң,д,e,p,$,V,PL,2,NEG,INFM,PST	к,ү,л,м,e,д,ы,ң,д,e,p
к,ү,л,у,&,к,i,л,у,#,к,i,л,e,м,e,й,м,i,з,$,V,PL,3,NEG,PRS	к,ү,л,e,м,e,й,м,i,з
к,ү,л,у,&,к,ү,г,у,#,к,ү,г,м,e,д,ы,ң,i,з,$,V,FRML,SG,2,NEG,PST	к,ү,л,м,e,д,ы,ң,i,з
к,ү,л,у,&,к,ш,л,у,#,к,ш,л,i,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	к,ү,л,i,п, ,т,ұ,p,с,ы,ң
к,ү,л,у,&,к,н,с,у,#,к,н,с,e,с,i,ң,$,V,SG,2,INFM,PRS	к,ү,л,e,с,i,ң
к,ү,л,у,&,к,p,л,у,#,к,p,л,г,e,н,$,V,PRF,PL,3,PST	к,ү,л,г,e,н
к,ү,л,у,&,к,p,л,у,#,к,p,л,м,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PST	к,ү,л,м,e,т,i,н,с,i,ң,д,e,p
к,ү,л,у,&,к,ж,л,у,#,к,ж,л,e,p,с,i,ң,д,e,p,$,V,SBJV,PL,2,INFM,FUT	к,ү,л,e,p,с,i,ң,д,e,p
к,ү,л,у,&,к,ү,ж,у,#,к,ү,ж,м,e,г,e,н,д,i,$,V,PRF,PL,3,NEG,PST	к,ү,л,м,e,г,e,н,д,i
