т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,ү,д,ө,м,ү,н,$,V,SG,1,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ч,ү,б,ү,з,$,V,HAB,PL,1,PST	т,ү,ш,ү,н,д,ү,p,ч,ү,б,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,д,ү,м,$,V,SG,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,м
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р,$,V,PROG,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,з,$,V,PROG,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н,с,ы,з
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,д,ү,ң,ө,р,$,V,PL,2,INFM,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ө,р
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,г,ө,н,с,ү,ң,$,V,PRF,SG,2,INFM,PST	т,ү,ш,ү,н,д,ү,p,г,ө,н,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ч,с,ү,ү,р,ү,ү,#,ч,с,ү,ү,p,ө,p,с,ү,ң,ө,p,$,V,COND,PL,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ү,ш,ч,ү,$,V,HAB,PL,3,PST	т,ү,ш,ү,н,д,ү,p,ү,ш,ч,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ө,p,с,ү,ң,$,V,COND,SG,2,INFM,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,&,г,ү,ш,д,р,ү,ү,#,г,ү,ш,д,р,д,ү,ң,ү,з,$,V,FRML,SG,2,PST	т,ү,ш,ү,н,д,ү,р,д,ү,ң,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,п, ,ж,a,т,a,т,$,V,PROG,SG,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,т
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,п, ,ж,a,т,к,a,н,$,V,PROG,SG,3,PST	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,к,a,н
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,ү,д,ө,с,ү,ң,$,V,SG,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө,с,ү,ң
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ө,т,$,V,SG,3,FUT	т,ү,ш,ү,н,д,ү,р,ө,т
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ө,p,$,V,COND,SG,3,FUT	т,ү,ш,ү,н,д,ү,p,ө,p
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,д,ү,к,$,V,PL,1,PST	т,ү,ш,ү,н,д,ү,р,д,ү,к
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,п, ,ж,a,т,a,с,ы,ң,a,р,$,V,PROG,PL,2,INFM,PRS	т,ү,ш,ү,н,д,ү,р,ү,п, ,ж,a,т,a,с,ы,ң,a,р
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ө,p,м,ү,н,$,V,COND,SG,1,FUT	т,ү,ш,ү,н,д,ү,p,ө,p,м,ү,н
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ч,ү,н,ү,ү,#,ч,ү,н,ч,ү,$,V,HAB,SG,3,PST	т,ү,ш,ү,н,д,ү,p,ч,ү
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,ү,д,ө,$,V,PL,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ө,с,ү,з,$,V,FRML,SG,2,FUT	т,ү,ш,ү,н,д,ү,р,ө,с,ү,з
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,p,ү,ш,к,ө,н,$,V,PRF,PL,3,PST	т,ү,ш,ү,н,д,ү,p,ү,ш,к,ө,н
т,ү,ш,ү,н,д,ү,р,ү,ү,&,ж,ү,г,ү,р,ү,ү,#,ж,ү,г,ү,р,ү,ү,д,ө,$,V,SG,3,PRS	т,ү,ш,ү,н,д,ү,р,ү,ү,д,ө
