d,a,c,h,a,a,s,u,&,d,m,c,h,a,a,s,u,#,d,m,c,h,a,a,s,u,$,COPY	d,a,c,h,a,a,s,u
d,a,c,h,a,a,s,u,&,d,a,c,h,a,k,s,u,#,d,a,c,h,a,k,s,u,a,a, ,j,i,r,t,a,a,$,V,SG,2,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,a,a
d,a,c,h,a,a,s,u,&,d,a,m,h,r,d,s,u,#,n,i, ,d,a,m,h,r,d,s,u,t,a,n,i,i,$,V,PL,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,a,n,i,i
d,a,c,h,a,a,s,u,&,d,a,c,h,w,a,s,u,#,n,i, ,d,a,c,h,w,a,s,u,t,t,u,u,$,V,PL,2,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,u,u
d,a,c,h,a,a,s,u,&,d,a,c,h,a,a,c,u,#,n,i, ,d,a,c,h,a,a,c,u,n,n,a,a,$,V,PL,1,FUT	n,i, ,d,a,c,h,a,a,s,u,n,n,a,a
d,a,c,h,a,a,s,u,&,d,a,c,x,a,a,s,u,#,d,a,c,x,a,a,s,u,a,a, ,j,i,r,a,n,i,i,$,V,PL,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,n,i,i
d,a,c,h,a,a,s,u,&,d,a,c,c,a,a,s,u,#,d,a,c,c,a,a,s,u,d,h,e,e,$,V,SG,1,PST	d,a,c,h,a,a,s,u,d,h,e,e
d,a,c,h,a,a,s,u,&,d,o,c,h,a,a,s,u,#,d,o,c,h,a,a,s,u,n,e,e,$,V,PL,1,PST	d,a,c,h,a,a,s,u,n,e,e
d,a,c,h,a,a,s,u,&,d,a,c,h,t,a,s,u,#,d,a,c,h,t,a,s,u,t,e,e,$,V,MASC,SG,3,PST	d,a,c,h,a,a,s,u,t,e,e
d,a,c,h,a,a,s,u,&,d,a,c,h,u,a,s,u,#,n,i, ,d,a,c,h,u,a,s,u,t,a,a,$,V,MASC,SG,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,a,a
d,a,c,h,a,a,s,u,&,d,a,c,h,a,s,s,u,#,d,a,c,h,a,s,s,u,a,a, ,j,i,r,t,u,u,$,V,PL,2,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,u,u
d,a,c,h,a,a,s,u,&,d,w,c,h,a,a,b,u,#,n,i, ,d,w,c,h,a,a,b,u,d,h,a,a,$,V,SG,1,FUT	n,i, ,d,a,c,h,a,a,s,u,d,h,a,a
d,a,c,h,a,a,s,u,&,d,y,r,h,a,i,s,u,#,d,y,r,h,a,i,s,u,a,a, ,j,i,r,a,a,$,V,SG,1,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,&,d,a,c,h,a,b,t,u,#,n,i, ,d,a,c,h,a,b,t,u,t,t,i,i,$,V,FEM,SG,3,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,i,i
d,a,c,h,a,a,s,u,&,d,a,a,h,u,b,c,u,#,d,a,a,h,u,b,c,u,t,a,n,i,i,$,V,PL,3,PST	d,a,c,h,a,a,s,u,t,a,n,i,i
d,a,c,h,a,a,s,u,&,d,a,c,w,a,o,s,u,#,d,a,c,w,a,o,s,u,t,t,a,n,i,i,$,V,PL,2,PST	d,a,c,h,a,a,s,u,t,t,a,n,i,i
d,a,c,h,a,a,s,u,&,d,a,c,k,a,a,s,u,#,n,i, ,d,a,c,k,a,a,s,u,t,t,a,a,$,V,SG,2,FUT	n,i, ,d,a,c,h,a,a,s,u,t,t,a,a
d,a,c,h,a,a,s,u,&,d,a,c,f,a,a,s,u,#,d,a,c,f,a,a,s,u,$,V,NFIN	d,a,c,h,a,a,s,u
d,a,c,h,a,a,s,u,&,d,a,c,h,a,a,x,u,#,d,a,c,h,a,a,x,u,a,a, ,j,i,r,t,i,i,$,V,FEM,SG,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,t,i,i
d,a,c,h,a,a,s,u,&,d,a,g,h,a,g,s,u,#,d,a,g,h,a,g,s,u,a,a, ,j,i,r,a,a,$,V,PL,1,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,&,d,a,c,h,a,a,o,u,#,d,a,c,h,a,a,o,u,t,t,e,e,$,V,FEM,SG,3,PST	d,a,c,h,a,a,s,u,t,t,e,e
d,a,c,h,a,a,s,u,&,d,b,c,h,a,a,s,u,#,d,b,c,h,a,a,s,u,a,a, ,j,i,r,a,a,$,V,MASC,SG,3,PRS	d,a,c,h,a,a,s,u,a,a, ,j,i,r,a,a
d,a,c,h,a,a,s,u,&,d,n,c,h,a,a,s,u,#,d,n,c,h,a,a,s,u,t,t,e,e,$,V,SG,2,PST	d,a,c,h,a,a,s,u,t,t,e,e
d,u,',&,d,l,o,#,d,l,o,$,COPY	d,u,'
d,u,',&,s,u,',#,s,u,',d,h,e,e,$,V,SG,1,PST	d,u,',d,h,e,e
d,u,',&,d,f,',#,d,f,',t,e,e,$,V,MASC,SG,3,PST	d,u,',t,e,e
d,u,',&,d,y,',#,d,y,',a,a, ,j,i,r,t,a,a,$,V,SG,2,PRS	d,u,',a,a, ,j,i,r,t,a,a
d,u,',&,m,m,',#,m,m,',t,t,a,n,i,i,$,V,PL,2,PST	d,u,',t,t,a,n,i,i
d,u,',&,n,u,',#,n,u,',a,a, ,j,i,r,a,a,$,V,SG,1,PRS	d,u,',a,a, ,j,i,r,a,a
