n,y,a,a,&,t,a,a,',#,t,a,a,',n,e,e,$,V,PL,1,PST	n,y,a,a,n,e,e
n,y,a,a,&,t,a,a,',#,t,a,a,',a,a, ,j,i,r,a,a,$,V,SG,1,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
n,y,a,a,&,t,a,a,',#,t,a,a,',t,t,e,e,$,V,SG,2,PST	n,y,a,a,t,t,e,e
n,y,a,a,&,t,a,a,',#,n,i, ,t,a,a,',d,h,a,a,$,V,SG,1,FUT	n,i, ,n,y,a,a,d,h,a,a
n,y,a,a,&,t,a,a,',#,t,a,a,',a,a, ,j,i,r,a,a,$,V,PL,1,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
n,y,a,a,&,t,a,a,',#,t,a,a,',t,t,e,e,$,V,FEM,SG,3,PST	n,y,a,a,t,t,e,e
n,y,a,a,&,t,a,a,',#,n,i, ,t,a,a,',t,t,i,i,$,V,FEM,SG,3,FUT	n,i, ,n,y,a,a,t,t,i,i
n,y,a,a,&,t,a,a,',#,n,i, ,t,a,a,',t,t,u,u,$,V,PL,2,FUT	n,i, ,n,y,a,a,t,t,u,u
n,y,a,a,&,t,a,a,',#,t,a,a,',a,a, ,j,i,r,t,i,i,$,V,FEM,SG,3,PRS	n,y,a,a,c,h,a,a, ,j,i,r,t,i,i
n,y,a,a,&,t,a,a,',#,t,a,a,',a,a, ,j,i,r,t,a,a,$,V,SG,2,PRS	n,y,a,a,c,h,a,a, ,j,i,r,t,a,a
n,y,a,a,&,t,a,a,',#,n,i, ,t,a,a,',t,a,n,i,i,$,V,PL,3,FUT	n,i, ,n,y,a,a,t,a,n,i,i
n,y,a,a,&,t,a,a,',#,t,a,a,',t,e,e,$,V,MASC,SG,3,PST	n,y,a,a,t,e,e
n,y,a,a,&,t,a,a,',#,n,i, ,t,a,a,',t,a,a,$,V,MASC,SG,3,FUT	n,i, ,n,y,a,a,t,a,a
n,y,a,a,&,t,a,a,',#,t,a,a,',u,u,$,V,NFIN	n,y,a,a,c,h,u,u
n,y,a,a,&,t,a,a,',#,t,a,a,',a,a, ,j,i,r,a,a,$,V,MASC,SG,3,PRS	n,y,a,a,c,h,a,a, ,j,i,r,a,a
