s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
s,e,k,a,&,s,e,t,a,#,n,d,a,s,e,t,a,$,V,SG,1,HOD	n,d,a,s,e,k,a
s,e,k,a,&,s,e,e,a,#,t,i,c,h,a,s,e,e,a,$,V,PL,1,FUT	t,i,c,h,a,s,e,k,a
s,e,k,a,&,s,e,k,h,#,v,a,c,h,a,s,e,k,h,$,V,PL,3,FUT	v,a,c,h,a,s,e,k,a
s,e,k,a,&,s,d,p,a,#,w,a,k,a,s,d,p,a,$,V,SG,2,PST	w,a,k,a,s,e,k,a
s,e,k,a,&,s,w,k,a,#,n,d,i,n,o,s,w,k,a,$,V,SG,1,PRS	n,d,i,n,o,s,e,k,a
s,e,k,a,&,c,e,k,i,#,n,d,i,r,i,k,u,c,e,k,i,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,e,k,a
s,e,k,a,&,w,e,k,a,#,a,r,i,k,u,w,e,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,s,e,k,a
s,e,k,a,&,s,e,k,y,#,t,i,n,o,s,e,k,y,$,V,PL,1,PRS	t,i,n,o,s,e,k,a
s,e,k,a,&,s,v,k,a,#,v,a,n,o,s,v,k,a,$,V,PL,3,PRS	v,a,n,o,s,e,k,a
s,e,k,a,&,s,e,k,u,#,u,c,h,a,s,e,k,u,$,V,SG,2,FUT	u,c,h,a,s,e,k,a
s,e,k,a,&,t,e,k,a,#,v,a,k,a,t,e,k,a,$,V,PL,3,PST	v,a,k,a,s,e,k,a
s,e,k,a,&,z,e,k,c,#,m,u,n,o,z,e,k,c,$,V,PL,2,PRS	m,u,n,o,s,e,k,a
s,e,k,a,&,z,d,k,a,#,v,a,r,i,k,u,z,d,k,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,e,k,a
s,e,k,a,&,b,e,k,a,#,m,u,c,h,a,b,e,k,a,$,V,PL,2,FUT	m,u,c,h,a,s,e,k,a
s,e,k,a,&,s,e,c,v,#,w,a,s,e,c,v,$,V,SG,2,HOD	w,a,s,e,k,a
s,e,k,a,&,s,t,k,u,#,t,i,r,i,k,u,s,t,k,u,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,e,k,a
s,e,k,a,&,c,m,k,a,#,n,d,i,c,h,a,c,m,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,e,k,a
s,e,k,a,&,s,e,n,a,#,a,n,o,s,e,n,a,$,V,SG,3,PRS	a,n,o,s,e,k,a
s,e,k,a,&,e,e,k,a,#,a,c,h,a,e,e,k,a,$,V,SG,3,FUT	a,c,h,a,s,e,k,a
s,e,k,a,&,s,e,s,a,#,m,a,s,e,s,a,$,V,PL,2,HOD	m,a,s,e,k,a
s,e,k,a,&,s,e,k,i,#,t,a,k,a,s,e,k,i,$,V,PL,1,PST	t,a,k,a,s,e,k,a
s,e,k,a,&,s,g,k,a,#,a,s,g,k,a,$,V,SG,3,HOD	a,s,e,k,a
s,e,k,a,&,g,e,k,a,#,n,d,a,k,a,g,e,k,a,$,V,SG,1,PST	n,d,a,k,a,s,e,k,a
s,e,k,a,&,s,e,k,n,#,u,r,i,k,u,s,e,k,n,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,e,k,a
s,e,k,a,&,c,e,k,a,#,u,n,o,c,e,k,a,$,V,SG,2,PRS	u,n,o,s,e,k,a
s,e,k,a,&,s,e,o,a,#,a,k,a,s,e,o,a,$,V,SG,3,PST	a,k,a,s,e,k,a
