l,i,a,&,s,i,a,#,s,i,a,$,COPY	l,i,a
l,i,a,&,c,i,a,#,a,a,c,i,a,$,V,INDF,FIN,IND,SG,3,PRS	a,a,l,i,a
l,i,a,&,l,k,a,#,n,i,m,e,l,k,a,$,V,PRF,FIN,IND,SG,1,PST	n,i,m,e,l,i,a
l,i,a,&,l,s,a,#,w,a,n,g,a,l,i,l,s,a,$,V,FIN,COND,PL,3,PST	w,a,n,g,a,l,i,l,i,a
l,i,a,&,t,h,a,#,m,n,g,a,l,i,t,h,a,$,V,FIN,COND,PL,2,PST	m,n,g,a,l,i,l,i,a
l,i,a,&,l,u,a,#,k,u,l,u,a,$,V,FIN	k,u,l,i,a
l,i,a,&,l,i,b,#,w,a,t,a,l,i,b,$,V,FIN,IND,PL,3,FUT	w,a,t,a,l,i,a
l,i,a,&,l,i,f,#,w,a,m,e,l,i,f,$,V,PRF,FIN,IND,PL,3,PST	w,a,m,e,l,i,a
l,i,a,&,l,d,a,#,n,i,l,i,l,d,a,$,V,FIN,IND,SG,1,PST	n,i,l,i,l,i,a
l,i,a,&,l,i,b,#,a,m,e,l,i,b,$,V,PRF,FIN,IND,SG,3,PST	a,m,e,l,i,a
l,i,a,&,e,i,a,#,t,u,a,e,i,a,$,V,INDF,FIN,IND,PL,1,PRS	t,u,a,l,i,a
l,i,a,&,p,i,a,#,n,i,n,g,e,p,i,a,$,V,FIN,COND,SG,1,PRS	n,i,n,g,e,l,i,a
l,i,a,&,n,i,a,#,m,a,n,i,a,$,V,INDF,FIN,IND,PL,2,PRS	m,a,l,i,a
l,i,a,&,l,d,a,#,m,t,a,l,d,a,$,V,FIN,IND,PL,2,FUT	m,t,a,l,i,a
l,i,a,&,l,m,c,#,u,n,g,e,l,m,c,$,V,FIN,COND,SG,2,PRS	u,n,g,e,l,i,a
l,i,a,&,z,i,a,#,m,h,u,z,i,a,$,V,HAB,FIN,IND,PL,2,PRS	m,h,u,l,i,a
l,i,a,&,g,z,t,#,w,a,n,a,g,z,t,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,l,i,a
l,i,a,&,l,i,r,#,w,a,n,g,e,l,i,r,$,V,FIN,COND,PL,3,PRS	w,a,n,g,e,l,i,a
l,i,a,&,l,i,g,#,n,i,h,u,l,i,g,$,V,HAB,FIN,IND,SG,1,PRS	n,i,h,u,l,i,a
l,i,a,&,p,i,c,#,u,n,g,a,l,i,p,i,c,$,V,FIN,COND,SG,2,PST	u,n,g,a,l,i,l,i,a
l,i,a,&,l,n,g,#,u,m,e,l,n,g,$,V,PRF,FIN,IND,SG,2,PST	u,m,e,l,i,a
l,i,a,&,b,i,a,#,u,h,u,b,i,a,$,V,HAB,FIN,IND,SG,2,PRS	u,h,u,l,i,a
l,i,a,&,l,i,z,#,u,l,i,l,i,z,$,V,FIN,IND,SG,2,PST	u,l,i,l,i,a
l,i,a,&,u,i,e,#,t,u,h,u,u,i,e,$,V,HAB,FIN,IND,PL,1,PRS	t,u,h,u,l,i,a
l,i,a,&,k,i,a,#,t,u,l,i,k,i,a,$,V,FIN,IND,PL,1,PST	t,u,l,i,l,i,a
l,i,a,&,j,i,a,#,u,t,a,j,i,a,$,V,FIN,IND,SG,2,FUT	u,t,a,l,i,a
l,i,a,&,f,i,o,#,t,u,n,a,f,i,o,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,l,i,a
l,i,a,&,l,i,o,#,w,a,a,l,i,o,$,V,INDF,FIN,IND,PL,3,PRS	w,a,a,l,i,a
l,i,a,&,e,g,a,#,t,u,t,a,e,g,a,$,V,FIN,IND,PL,1,FUT	t,u,t,a,l,i,a
l,i,a,&,l,i,m,#,u,n,a,l,i,m,$,V,DEF,FIN,IND,SG,2,PRS	u,n,a,l,i,a
l,i,a,&,f,i,k,a,#,a,l,i,f,i,k,a,$,V,FIN,IND,SG,3,PST	a,l,i,l,i,a
l,i,a,&,e,i,a,#,m,m,e,e,i,a,$,V,PRF,FIN,IND,PL,2,PST	m,m,e,l,i,a
l,i,a,&,l,d,a,#,m,n,g,e,l,d,a,$,V,FIN,COND,PL,2,PRS	m,n,g,e,l,i,a
l,i,a,&,l,i,j,#,a,t,a,l,i,j,$,V,FIN,IND,SG,3,FUT	a,t,a,l,i,a
l,i,a,&,l,i,z,#,n,i,a,l,i,z,$,V,INDF,FIN,IND,SG,1,PRS	n,i,a,l,i,a
l,i,a,&,n,i,a,#,m,l,i,n,i,a,$,V,FIN,IND,PL,2,PST	m,l,i,l,i,a
l,i,a,&,l,s,s,#,w,a,h,u,l,s,s,$,V,HAB,FIN,IND,PL,3,PRS	w,a,h,u,l,i,a
l,i,a,&,s,i,a,#,n,i,t,a,s,i,a,$,V,FIN,IND,SG,1,FUT	n,i,t,a,l,i,a
l,i,a,&,u,i,a,#,m,n,a,u,i,a,$,V,DEF,FIN,IND,PL,2,PRS	m,n,a,l,i,a
l,i,a,&,l,o,p,#,t,u,n,g,e,l,o,p,$,V,FIN,COND,PL,1,PRS	t,u,n,g,e,l,i,a
l,i,a,&,l,y,a,#,w,a,l,i,l,y,a,$,V,FIN,IND,PL,3,PST	w,a,l,i,l,i,a
l,i,a,&,l,g,a,#,n,i,n,a,l,g,a,$,V,DEF,FIN,IND,SG,1,PRS	n,i,n,a,l,i,a
l,i,a,&,l,z,a,#,t,u,m,e,l,z,a,$,V,PRF,FIN,IND,PL,1,PST	t,u,m,e,l,i,a
l,i,a,&,f,i,a,#,a,n,g,e,f,i,a,$,V,FIN,COND,SG,3,PRS	a,n,g,e,l,i,a
l,i,a,&,l,i,u,#,t,u,n,g,a,l,i,l,i,u,$,V,FIN,COND,PL,1,PST	t,u,n,g,a,l,i,l,i,a
l,i,a,&,c,i,a,#,a,n,a,c,i,a,$,V,DEF,FIN,IND,SG,3,PRS	a,n,a,l,i,a
l,i,a,&,p,i,j,#,a,h,u,p,i,j,$,V,HAB,FIN,IND,SG,3,PRS	a,h,u,l,i,a
l,i,a,&,l,f,y,#,n,i,n,g,a,l,i,l,f,y,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,l,i,a
l,i,a,&,l,t,a,#,u,a,l,t,a,$,V,INDF,FIN,IND,SG,2,PRS	u,a,l,i,a
l,i,a,&,i,c,w,#,a,n,g,a,l,i,i,c,w,$,V,FIN,COND,SG,3,PST	a,n,g,a,l,i,l,i,a
n,g,o,j,a,&,n,n,i,j,o,#,n,n,i,j,o,$,COPY	n,g,o,j,a
n,g,o,j,a,&,n,g,o,h,a,#,n,i,n,g,a,l,i,n,g,o,h,a,$,V,FIN,COND,SG,1,PST	n,i,n,g,a,l,i,n,g,o,j,a
n,g,o,j,a,&,n,i,o,j,a,#,w,a,n,a,n,i,o,j,a,$,V,DEF,FIN,IND,PL,3,PRS	w,a,n,a,n,g,o,j,a
n,g,o,j,a,&,n,g,o,h,a,#,t,u,n,a,n,g,o,h,a,$,V,DEF,FIN,IND,PL,1,PRS	t,u,n,a,n,g,o,j,a
