д,и,г,а,р,ҷ,и,н,с,г,а,р,о,&,д,и,г,а,р,ҷ,и,ф,с,г,а,р,о,#,д,и,г,а,р,ҷ,и,ф,с,г,а,р,о,$,COPY	д,и,г,а,р,ҷ,и,н,с,г,а,р,о
д,и,г,а,р,ҷ,и,н,с,г,а,р,о,&,д,и,г,а,р,ҷ,и,н,м,ж,а,р,о,#,д,и,г,а,р,ҷ,и,н,м,ж,а,р,о,$,N,SG	д,и,г,а,р,ҷ,и,н,с,г,а,р,о
б,а,д,а,н,&,б,з,д,а,я,#,б,з,д,а,я,$,COPY	б,а,д,а,н
б,а,д,а,н,&,б,а,д,а,ф,#,б,а,д,а,ф,$,N,NDEF,SG	б,а,д,а,н
с,о,л,&,с,я,ғ,#,с,я,ғ,$,COPY	с,о,л
с,о,л,&,с,о,х,#,с,о,х,$,N,NDEF,SG	с,о,л
г,о,л,&,ж,о,л,#,ж,о,л,$,COPY	г,о,л
г,о,л,&,м,о,н,#,м,о,н,$,N,NDEF,SG	г,о,л
м,о,с,т,&,м,о,с,а,#,м,о,с,а,$,COPY	м,о,с,т
м,о,с,т,&,м,о,с,х,#,м,о,с,х,$,N,NDEF,SG	м,о,с,т
с,и,ф,а,т,&,с,е,ф,ҷ,т,#,с,е,ф,ҷ,т,$,COPY	с,и,ф,а,т
с,и,ф,а,т,&,с,и,ф,а,и,#,с,и,ф,а,и,$,N,NDEF,SG	с,и,ф,а,т
н,у,р,&,к,у,р,#,к,у,р,$,COPY	н,у,р
н,у,р,&,а,у,м,#,а,у,м,$,N,NDEF,SG	н,у,р
б,о,д,&,б,ё,д,#,б,ё,д,$,COPY	б,о,д
б,о,д,&,в,о,д,#,в,о,д,$,N,NDEF,SG	б,о,д
д,у,д,&,ш,в,я,#,ш,в,я,$,COPY	д,у,д
д,у,д,&,д,у,а,#,д,у,а,$,N,NDEF,SG	д,у,д
к,и,ш,в,а,р,&,к,н,ш,в,ф,р,#,к,н,ш,в,ф,р,$,COPY	к,и,ш,в,а,р
к,и,ш,в,а,р,&,к,и,ш,в,м,р,#,к,и,ш,в,м,р,$,N,SG	к,и,ш,в,а,р
к,и,т,о,б,&,к,и,т,о,и,#,к,и,т,о,и,$,COPY	к,и,т,о,б
к,и,т,о,б,&,ш,ж,т,о,х,#,ш,ж,т,о,х,$,N,SG	к,и,т,о,б
д,о,к,т,о,р,&,д,о,л,т,о,р,#,д,о,л,т,о,р,$,COPY	д,о,к,т,о,р
д,о,к,т,о,р,&,д,о,к,т,ё,р,#,д,о,к,т,ё,р,$,N,NDEF,SG	д,о,к,т,о,р
с,а,б,з,а,&,с,қ,б,н,а,#,с,қ,б,н,а,$,COPY	с,а,б,з,а
с,а,б,з,а,&,с,а,б,з,ҳ,#,с,а,б,з,ҳ,$,N,NDEF,SG	с,а,б,з,а
б,а,р,о,д,а,р,&,б,а,з,о,д,з,р,#,б,а,з,о,д,з,р,$,COPY	б,а,р,о,д,а,р
б,а,р,о,д,а,р,&,б,а,л,ё,д,а,р,#,б,а,л,ё,д,а,р,$,N,SG	б,а,р,о,д,а,р
ҳ,а,м,с,о,я,&,ҳ,г,м,с,о,я,#,ҳ,г,м,с,о,я,$,COPY	ҳ,а,м,с,о,я
ҳ,а,м,с,о,я,&,ҳ,а,м,б,н,я,#,ҳ,а,м,б,н,я,$,N,SG	ҳ,а,м,с,о,я
н,а,в,и,с,а,н,д,а,&,н,а,в,н,с,а,н,д,а,#,н,а,в,н,с,а,н,д,а,$,COPY	н,а,в,и,с,а,н,д,а
н,а,в,и,с,а,н,д,а,&,н,қ,в,и,с,а,н,в,а,#,н,қ,в,и,с,а,н,в,а,$,N,SG	н,а,в,и,с,а,н,д,а
ҷ,а,з,и,р,а,&,ҷ,а,ф,ф,р,а,#,ҷ,а,ф,ф,р,а,$,COPY	ҷ,а,з,и,р,а
ҷ,а,з,и,р,а,&,ҷ,а,з,и,о,а,#,ҷ,а,з,и,о,а,$,N,SG	ҷ,а,з,и,р,а
д,и,л,&,д,ф,л,#,д,ф,л,$,COPY	д,и,л
д,и,л,&,д,н,л,#,д,н,л,$,N,NDEF,SG	д,и,л
н,о,м,&,н,д,з,#,н,д,з,$,COPY	н,о,м
н,о,м,&,ҷ,о,п,#,ҷ,о,п,$,N,NDEF,SG	н,о,м
т,у,т,&,т,у,ё,#,т,у,ё,$,COPY	т,у,т
т,у,т,&,т,у,ҳ,#,т,у,ҳ,$,N,NDEF,SG	т,у,т
д,а,р,&,д,х,т,#,д,х,т,$,COPY	д,а,р
д,а,р,&,д,а,а,#,д,а,а,$,N,NDEF,SG	д,а,р
з,о,ғ,&,з,ё,ғ,#,з,ё,ғ,$,COPY	з,о,ғ
з,о,ғ,&,з,о,я,#,з,о,я,$,N,NDEF,SG	з,о,ғ
н,а,м,&,н,о,н,#,н,о,н,$,COPY	н,а,м
н,а,м,&,а,а,м,#,а,а,м,$,N,NDEF,SG	н,а,м
ҳ,а,й,в,о,н,&,ҳ,н,н,в,о,н,#,ҳ,н,н,в,о,н,$,COPY	ҳ,а,й,в,о,н
ҳ,а,й,в,о,н,&,ҳ,а,й,в,ғ,н,#,ҳ,а,й,в,ғ,н,$,N,SG	ҳ,а,й,в,о,н
л,у,ғ,а,т,&,л,о,ғ,а,т,#,л,о,ғ,а,т,$,COPY	л,у,ғ,а,т
л,у,ғ,а,т,&,ш,у,ғ,б,т,#,ш,у,ғ,б,т,$,N,SG	л,у,ғ,а,т
м,е,х,&,б,е,х,#,б,е,х,$,COPY	м,е,х
м,е,х,&,м,и,х,#,м,и,х,$,N,NDEF,SG	м,е,х
в,о,ж,а,&,в,о,ш,а,#,в,о,ш,а,$,COPY	в,о,ж,а
в,о,ж,а,&,п,о,ж,а,#,п,о,ж,а,$,N,SG	в,о,ж,а
у,қ,о,б,&,у,қ,о,п,#,у,қ,о,п,$,COPY	у,қ,о,б
