s,u,k,l,a,y,&,s,u,k,ú,a,y,#,s,u,k,ú,a,y,$,COPY	s,u,k,l,a,y
s,u,k,l,a,y,&,s,u,k,s,k,y,#,s,i,n,u,s,u,k,s,k,y,$,V,IPFV,PFOC	s,i,n,u,s,u,k,l,a,y
s,u,k,l,a,y,&,s,u,k,l,t,y,#,s,i,n,u,k,l,t,y,$,V,PFV,PFOC	s,i,n,u,k,l,a,y
s,u,k,l,a,y,&,s,u,g,l,a,y,#,n,a,g,s,u,s,u,g,l,a,y,$,V,IPFV,AGFOC	n,a,g,s,u,s,u,k,l,a,y
s,u,k,l,a,y,&,s,u,k,ú,a,y,#,s,u,s,u,k,ú,a,y,i,n,$,V,PFOC,LGSPEC1	s,u,s,u,k,l,a,y,i,n
s,u,k,l,a,y,&,s,g,a,l,a,y,#,s,g,a,l,a,y,$,V,NFIN	s,u,k,l,a,y
s,u,k,l,a,y,&,s,í,k,l,a,y,#,n,a,g,s,í,k,l,a,y,$,V,PFV,AGFOC	n,a,g,s,u,k,l,a,y
s,u,k,l,a,y,&,s,u,k,l,k,y,#,m,a,g,s,u,s,u,k,l,k,y,$,V,AGFOC,LGSPEC1	m,a,g,s,u,s,u,k,l,a,y
h,i,w,a,',&,h,i,s,a,e,#,h,i,s,a,e,$,COPY	h,i,w,a,'
h,i,w,a,',&,h,i,ó,e,',#,h,i,n,i,h,i,ó,e,',$,V,IPFV,PFOC	h,i,n,i,h,i,w,a,'
h,i,w,a,',&,h,í,w,a,',#,m,a,g,h,i,h,í,w,a,',$,V,AGFOC,LGSPEC1	m,a,g,h,i,h,i,w,a,'
h,i,w,a,',&,h,i,w,r,',#,n,a,g,h,i,w,r,',$,V,PFV,AGFOC	n,a,g,h,i,w,a,'
h,i,w,a,',&,w,i,w,a,',#,n,a,g,h,i,w,i,w,a,',$,V,IPFV,AGFOC	n,a,g,h,i,h,i,w,a,'
h,i,w,a,',&,h,i,w,-,',#,h,i,n,i,w,-,',$,V,PFV,PFOC	h,i,n,i,w,a,'
h,i,w,a,',&,y,i,w,a,',#,y,i,w,a,',$,V,NFIN	h,i,w,a,'
h,i,w,a,',&,n,i,w,a,',#,h,i,n,i,w,a,i,n,',$,V,PFOC,LGSPEC1	h,i,h,i,w,a,i,n,'
t,a,a,s,&,í,a,a,s,#,í,a,a,s,$,COPY	t,a,a,s
t,a,a,s,&,t,p,',g,#,n,a,g,t,p,',g,$,V,PFV,AGFOC	n,a,g,t,a,a,s
t,a,a,s,&,t,a,b,s,#,i,t,i,n,a,t,a,b,s,$,V,IPFV,PFOC	i,t,i,n,a,t,a,a,s
t,a,a,s,&,s,a,a,s,#,s,a,a,s,$,V,NFIN	t,a,a,s
t,a,a,s,&,m,a,-,p,#,i,t,a,m,a,-,p,$,V,PFOC,LGSPEC1	i,t,a,t,a,a,s
t,a,a,s,&,t,k,a,s,#,m,a,g,t,a,t,k,a,s,$,V,AGFOC,LGSPEC1	m,a,g,t,a,t,a,a,s
t,a,a,s,&,t,í,a,l,#,i,t,i,n,í,a,l,$,V,PFV,PFOC	i,t,i,n,a,a,s
t,a,a,s,&,t,e,a,s,#,n,a,g,t,a,t,e,a,s,$,V,IPFV,AGFOC	n,a,g,t,a,t,a,a,s
k,u,h,a,',&,k,u,h,ó,',#,k,u,h,ó,',$,COPY	k,u,h,a,'
k,u,h,a,',&,k,u,i,a,t,#,k,u,k,u,i,a,t,$,V,AGFOC,LGSPEC1	k,u,k,u,h,a,'
