á,s,a,&,s,á,m,a,#,n,a,g,s,a,s,á,m,a,$,V,IPFV,AGFOC	u,m,a,á,s,a
á,s,a,&,s,á,m,a,#,n,a,g,s,á,m,a,$,V,PFV,AGFOC	u,m,á,s,a
á,s,a,&,s,á,m,a,#,i,s,a,s,á,m,a,$,V,PFOC,LGSPEC1	a,á,s,a,h,a,n
á,s,a,&,s,á,m,a,#,s,á,m,a,$,V,NFIN	á,s,a
á,s,a,&,á,s,w,a,#,m,a,g,k,i,á,s,w,a,$,V,AGFOC,LGSPEC1	a,á,s,a
á,s,a,&,s,á,m,a,#,i,s,i,n,á,m,a,$,V,PFV,PFOC	i,n,á,s,a,h,a,n
á,s,a,&,s,á,m,a,#,i,s,i,n,a,s,á,m,a,$,V,IPFV,PFOC	i,n,a,á,s,a,h,a,n
l,í,t,o,&,l,í,t,o,t,#,n,a,g,l,í,t,o,t,$,V,PFV,AGFOC	n,a,l,í,t,o
l,í,t,o,&,k,í,t,a,#,m,a,k,i,k,i,p,a,g,k,í,t,a,$,V,PFOC,LGSPEC1	l,i,l,i,t,u,h,i,n
l,í,t,o,&,k,í,t,a,#,n,a,k,i,p,a,g,k,í,t,a,$,V,PFV,PFOC	n,i,l,í,t,o
l,í,t,o,&,k,í,t,a,#,m,a,g,k,i,k,í,t,a,$,V,AGFOC,LGSPEC1	m,a,l,i,l,í,t,o
l,í,t,o,&,l,í,k,o,#,l,í,k,o,$,V,NFIN	l,í,t,o
l,í,t,o,&,l,í,t,a,#,n,a,g,k,i,l,í,t,a,$,V,IPFV,AGFOC	n,a,l,i,l,í,t,o
l,í,t,o,&,k,í,t,a,#,n,a,k,i,k,i,p,a,g,k,í,t,a,$,V,IPFV,PFOC	n,i,l,i,l,í,t,o
b,a,l,i,t,a,&,b,a,l,o,t,#,b,a,b,a,l,u,t,i,n,$,V,PFOC,LGSPEC1	i,b,a,b,a,l,i,t,a
b,a,l,i,t,a,&,b,a,l,o,t,#,n,a,g,b,a,l,o,t,$,V,PFV,AGFOC	n,a,g,b,a,l,i,t,a
b,a,l,i,t,a,&,b,a,l,o,t,#,b,i,n,a,l,o,t,$,V,PFV,PFOC	b,i,n,a,l,i,t,a
b,a,l,i,t,a,&,b,a,l,o,t,#,b,i,n,a,b,a,l,o,t,$,V,IPFV,PFOC	b,i,n,a,b,a,l,i,t,a
