f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
f,u,n,d,a,&,f,u,n,u,a,#,n,g,i,y,o,f,u,n,u,a,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,d,a
f,u,n,d,a,&,f,u,m,d,a,#,n,g,i,f,u,m,d,a,$,V,SG,1,PRS	n,g,i,f,u,n,d,a
f,u,n,d,a,&,f,d,n,j,h,#,n,g,i,z,o,f,d,n,j,h,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,n,d,a
f,u,n,d,a,&,f,u,z,d,a,#,n,g,i,f,u,z,d,e,$,V,SG,1,PST+RCT	n,g,i,f,u,n,d,e
f,u,n,d,a,&,g,u,n,s,a,#,n,g,a,g,u,n,s,a,$,V,SG,1,PST+RMT	n,g,a,f,u,n,d,a
p,h,i,n,d,a,&,p,g,i,n,d,a,#,p,g,i,n,d,a,$,COPY	p,h,i,n,d,a
p,h,i,n,d,a,&,p,q,i,n,d,a,#,n,g,a,p,q,i,n,d,a,$,V,SG,1,PST+RMT	n,g,a,p,h,i,n,d,a
p,h,i,n,d,a,&,p,h,b,n,d,a,#,n,g,i,z,o,p,h,b,n,d,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,i,n,d,a
p,h,i,n,d,a,&,p,h,i,n,l,a,#,n,g,i,y,o,p,h,i,n,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,n,d,a
p,h,i,n,d,a,&,p,h,i,t,d,a,#,n,g,i,p,h,i,t,d,a,$,V,SG,1,PRS	n,g,i,p,h,i,n,d,a
p,h,i,n,d,a,&,p,h,o,n,d,a,#,n,g,i,p,h,o,n,d,e,$,V,SG,1,PST+RCT	n,g,i,p,h,i,n,d,e
v,a,l,a,&,v,z,l,a,#,v,z,l,a,$,COPY	v,a,l,a
v,a,l,a,&,v,a,p,a,#,n,g,i,v,a,p,e,$,V,SG,1,PST+RCT	n,g,i,v,a,l,e
v,a,l,a,&,a,j,l,a,#,n,g,i,a,j,l,a,$,V,SG,1,PRS	n,g,i,v,a,l,a
v,a,l,a,&,v,a,p,b,#,n,g,a,v,a,p,b,$,V,SG,1,PST+RMT	n,g,a,v,a,l,a
v,a,l,a,&,v,u,l,l,#,n,g,i,y,o,v,u,l,l,$,V,SG,1,FUT	n,g,i,y,o,v,a,l,a
v,a,l,a,&,p,g,l,a,#,n,g,i,z,o,p,g,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,l,a
k,h,u,m,b,u,l,a,&,k,z,u,q,b,u,l,a,#,k,z,u,q,b,u,l,a,$,COPY	k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,&,k,h,m,m,b,u,l,a,#,n,g,i,k,h,m,m,b,u,l,e,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,b,u,l,e
k,h,u,m,b,u,l,a,&,k,h,u,y,b,u,l,a,#,n,g,a,k,h,u,y,b,u,l,a,$,V,SG,1,PST+RMT	n,g,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,&,k,h,u,m,b,u,s,a,#,n,g,i,y,a,k,h,u,m,b,u,s,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,&,k,h,w,m,b,w,l,a,#,n,g,i,y,o,k,h,w,m,b,w,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,m,b,u,l,a
k,h,u,m,b,u,l,a,&,k,h,u,m,b,u,q,a,#,n,g,i,z,o,k,h,u,m,b,u,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,m,b,u,l,a
t,h,e,n,g,a,&,t,p,e,n,g,a,#,t,p,e,n,g,a,$,COPY	t,h,e,n,g,a
t,h,e,n,g,a,&,t,h,e,f,g,a,#,n,g,i,z,o,t,h,e,f,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,e,n,g,a
t,h,e,n,g,a,&,c,q,e,n,g,a,#,n,g,i,c,q,e,n,g,e,$,V,SG,1,PST+RCT	n,g,i,t,h,e,n,g,e
t,h,e,n,g,a,&,t,t,e,n,g,a,#,n,g,a,t,t,e,n,g,a,$,V,SG,1,PST+RMT	n,g,a,t,h,e,n,g,a
t,h,e,n,g,a,&,t,y,e,n,g,a,#,n,g,i,t,y,e,n,g,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,g,a
t,h,e,n,g,a,&,t,h,e,a,g,a,#,n,g,i,y,o,t,h,e,a,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,n,g,a
